*0533*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0533;145497236;1;0;984;1#2;4.5;
0533;145497260;1;0;1390;1#2;4.5;
0533;145497261;1;0;4;1#2;4.5;
0533;145497268;2;7;415;1#2;4.5;
0533;145497269;1;0;685;1#2;4.5;
0533;145497270;1;0;1521;1#2;4.5;
0533;145497270;1;0;1521;1#2;4.5;
0533;145500526;1;0;80;1#2;4.0;
0533;145500593;2;114;115;1#2;3.8;
0533;145500594;1;0;110;1#2;3.8;
0533;145500734;1;0;299;1#2;3.4;
0533;145512130;1;0;178;1#2;3.4;
0533;145512138;2;55;61;1#2;3.5;
0533;145512139;1;0;23;1#2;3.5;
