FEIL: 6655514.150   139685.200       Felt 1, mangler restriksjon
FEIL: 6655314.720   141859.770       Felt 1, mangler restriksjon
FEIL: 6655287.730   141484.520       Felt 1, mangler restriksjon
FEIL: 6655337.820   141767.980       Felt 1, mangler restriksjon
FEIL: 6655311.020   141823.660       Felt 1, mangler restriksjon
FEIL: 6655314.600   141728.180       Felt 1, mangler restriksjon
FEIL: 6655323.490   141645.720       Felt 1, mangler restriksjon
FEIL: 6655310.700   141765.600       Felt 1, mangler restriksjon
FEIL: 6655311.510   141828.970       Felt 1, mangler restriksjon
FEIL: 6655320.060   141675.530       Felt 1, mangler restriksjon
FEIL: 6655332.420   141554.700       Felt 1, mangler restriksjon
FEIL: 6655310.700   141765.600       Felt 1, mangler restriksjon
FEIL: 6655274.480   141763.330       Felt 1, mangler restriksjon
FEIL: 6655321.760   141658.940       Felt 1, mangler restriksjon
FEIL: 6655245.660   141482.120       Felt 1, mangler restriksjon
FEIL: 6655235.740   141707.480       Felt 1, mangler restriksjon
FEIL: 6655235.740   141707.480       Felt 1, mangler restriksjon
FEIL: 6655273.060   141715.540       Felt 1, mangler restriksjon
