*0419*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0419;145313753;3;0;0;1#2;;
0419;145320143;3;0;0;1#2;;
0419;145320163;3;0;0;1#2;;
0419;145346979;3;688;688;1#2;;
0419;145346980;3;0;0;1#2;;
0419;145346980;3;0;0;1#2;;
0419;145346980;3;415;415;1#2;;
0419;145346980;3;415;415;1#2;;
0419;145346982;3;1402;1402;1#2;;
0419;145346983;3;0;0;1#2;;
0419;145379406;3;0;0;1#2;;
0419;145379410;3;0;0;1#2;;
0419;145379425;3;0;0;1#2;;
0419;145379440;3;0;0;1#2;;
0419;145379457;3;36;36;1#2;;
0419;237673839;3;101;101;1#2;;
0419;145379466;3;0;0;1#2;;
0419;145379479;3;0;0;1#2;;
0419;145379494;3;0;0;1#2;;
0419;145379498;3;0;0;1#2;;
0419;145379508;3;50;50;1#2;;
0419;145379510;3;62;62;1#2;;
0419;145379524;3;108;108;1#2;;
0419;145379524;3;108;108;1#2;;
0419;145379527;3;0;0;1#2;;
0419;145379530;3;0;0;1#2;;
0419;145379546;3;302;302;1#2;;
0419;145379555;3;0;0;1#2;;
0419;145379558;3;24;24;1#2;;
0419;145379561;3;0;0;1#2;;
0419;145379584;3;383;383;1#2;;
0419;145379592;3;55;55;1#2;;
0419;145379597;3;0;0;1#2;;
0419;145379627;3;49;49;1#2;;
0419;145379636;3;237;237;1#2;;
0419;145379650;3;0;0;1#2;;
0419;145379652;3;61;61;1#2;;
0419;145379668;3;85;85;1#2;;
0419;145379673;3;0;0;1#2;;
0419;145379689;3;0;0;1#2;;
0419;145379706;3;0;0;1#2;;
0419;145379712;3;0;0;1#2;;
0419;145379720;3;19;19;1#2;;
0419;239118255;3;0;0;1#2;;
0419;145379727;3;10;10;1#2;;
0419;145379733;3;0;0;1#2;;
0419;145379736;3;42;42;1#2;;
0419;145379751;3;0;0;1#2;;
0419;145379757;3;0;0;1#2;;
0419;145379783;3;54;54;1#2;;
0419;145379787;3;63;63;1#2;;
0419;145379790;3;0;0;1#2;;
0419;145379800;3;0;0;1#2;;
0419;145379803;3;0;0;1#2;;
0419;237673852;3;0;0;1#2;;
0419;145379857;3;0;0;1#2;;
0419;145379865;3;0;0;1#2;;
0419;145379871;3;0;0;1#2;;
0419;145379883;3;0;0;1#2;;
0419;145379948;3;102;102;1#2;;
