*0231*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0231;145183306;1;0;7;1#2;2.3;
0231;145183852;1;0;347;1#2;3.5;
0231;145237335;1;0;42;1#2;4.0;
0231;145238722;1;0;43;1#2;4.5;
0231;145245117;1;0;68;1#2;4.5;
0231;145245246;1;0;231;1#2;3.8;
0231;145252119;1;0;710;1#2;4.0;
0231;145252609;1;0;529;3H1;4.3;
0231;145252609;1;0;529;1#3;4.5;
0231;145253208;1;0;23;1#3;4.3;
0231;145253406;1;0;3;1;4.3;
0231;145253740;1;0;79;1#3;4.5;
0231;145256516;1;0;71;2#4;4.5;
0231;145257015;1;0;23;2#4;4.3;
0231;145257188;1;0;136;2;4.5;
