*0415*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0415;184955107;1;0;614;1#2;50;
0415;145318263;1;0;7;1#2;50;
0415;145318264;1;0;904;1#2;50;
0415;145318265;1;0;102;1#2;50;
0415;145318266;1;0;1177;1#2;50;
0415;145318267;1;0;117;1#2;50;
0415;145318268;1;0;703;1#2;50;
0415;145318269;1;0;21;1#2;50;
0415;145318270;1;0;807;1#2;50;
0415;145318271;1;0;215;1#2;50;
0415;145318272;1;0;353;1#2;50;
0415;145318273;1;0;1407;1#2;50;
0415;145318274;1;0;271;1#2;50;
0415;145318275;1;0;611;1#2;50;
0415;145318276;1;0;247;1#2;50;
0415;145318277;1;0;206;1#2;50;
0415;145318278;1;0;277;1#2;50;
0415;145318279;1;0;667;1#2;50;
0415;145318280;1;0;172;1#2;50;
0415;145318281;1;0;391;1#2;50;
0415;145318282;1;0;51;1#2;50;
0415;145318283;1;0;1091;1#2;50;
0415;145318284;1;0;125;1#2;50;
0415;145318285;1;0;24;1#2;50;
0415;145318286;1;0;196;1#2;50;
0415;145318287;1;0;43;1#2;50;
0415;145318288;1;0;31;1#2;50;
0415;145318289;1;0;238;1#2;50;
0415;145318290;1;0;42;1#2;50;
0415;145318291;1;0;34;1#2;50;
0415;145318292;1;0;32;1#2;50;
0415;145318293;1;0;189;1#2;50;
0415;145318294;1;0;444;1#2;50;
0415;145318295;1;0;253;1#2;50;
0415;276498495;1;0;6;1#2;50;
0415;276498496;1;0;69;1#2;50;
0415;145318297;1;0;94;1#2;30;
0415;276498497;1;0;5;1#2;50;
0415;276498498;1;0;234;1#2;50;
0415;276498499;1;0;101;1#2;50;
0415;276498500;1;0;30;1#2;50;
0415;145318300;1;0;132;1#2;50;
0415;145318301;1;0;204;1#2;50;
0415;145318302;1;0;23;1#2;50;
0415;145318303;1;0;216;1#2;50;
0415;145318304;1;0;208;1#2;50;
0415;145318305;1;0;289;1#2;50;
0415;145318306;1;0;164;1#2;50;
0415;145318307;1;0;168;1#2;50;
0415;145318308;1;0;302;1#2;50;
0415;145318309;1;0;94;1#2;50;
0415;145318310;1;0;302;1#2;50;
0415;145318311;1;0;166;1#2;50;
0415;145318312;1;0;45;1#2;50;
0415;145318313;1;0;49;1#2;50;
0415;145318314;1;0;269;1#2;50;
0415;145318315;1;0;260;1#2;50;
0415;145318316;1;0;542;1#2;50;
0415;145318317;1;0;160;1#2;50;
0415;145318318;1;0;584;1#2;50;
0415;145318319;1;0;449;1#2;50;
0415;145318320;1;0;4;1#2;50;
0415;145318321;1;0;129;1#2;50;
0415;145318322;1;0;1098;1#2;50;
0415;145318323;1;0;936;1#2;50;
0415;145318324;1;0;98;1#2;50;
0415;145318325;1;0;167;1#2;50;
0415;145318326;1;0;135;1#2;50;
0415;145318327;1;0;171;1#2;50;
0415;145318328;1;0;467;1#2;50;
0415;145318329;1;0;143;1#2;50;
