*0138*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0138;145115226;1;0;168;1#2;30;
0138;145115227;1;0;77;1#2;30;
0138;145115228;1;0;45;1#2;30;
0138;145115229;1;0;154;1#2;30;
0138;145115230;1;0;79;1#2;30;
0138;145115231;1;0;86;1#2;30;
0138;145115232;1;0;136;1#2;30;
0138;145115233;1;0;44;1#2;30;
0138;145115234;1;0;27;1#2;30;
0138;145115235;1;0;55;1#2;50;
0138;145115236;1;0;129;1#2;30;
0138;159596461;1;0;9;1#2;30;
0138;159596462;1;0;20;1#2;30;
0138;145115238;1;0;5;1#2;30;
0138;145115239;1;0;40;1#2;30;
0138;145115240;1;0;87;1#2;30;
0138;145115241;1;0;79;1#2;30;
0138;145115242;1;0;130;1#2;30;
0138;145115243;1;0;242;1#2;30;
0138;145115244;1;0;60;1#2;30;
0138;145115245;1;0;61;1#2;30;
0138;145115246;1;0;46;1#2;30;
0138;145115247;1;0;64;1#2;30;
0138;145115248;1;0;36;1#2;30;
0138;145115249;1;0;29;1#2;30;
0138;145115250;1;0;28;1#2;30;
0138;145115251;1;0;84;1#2;30;
0138;145115252;1;0;89;1#2;30;
0138;145115253;1;0;135;1#2;30;
0138;145115254;1;0;54;1#2;30;
0138;145115255;1;0;34;1#2;30;
0138;145115256;1;0;38;1#2;30;
0138;145115257;1;0;113;1#2;30;
0138;145115258;1;0;43;1#2;50;
0138;145115259;1;0;211;1#2;30;
0138;145115261;1;0;86;1#2;50;
0138;145115262;1;0;233;1#2;50;
0138;145115263;1;0;51;1#2;50;
0138;145115264;1;0;38;1#2;50;
0138;145115265;1;0;60;1#2;50;
0138;145115266;1;0;266;1#2;50;
0138;145115267;1;0;178;1#2;50;
0138;145115268;1;0;28;1#2;50;
0138;145115269;1;0;668;1#2;50;
0138;145115270;1;0;59;1#2;50;
0138;145115271;1;0;568;1#2;50;
0138;145115272;1;0;86;1#2;50;
0138;145115273;1;0;394;1#2;50;
0138;145115274;1;0;489;1#2;50;
0138;145115275;1;0;303;1#2;50;
0138;145115276;1;0;353;1#2;50;
0138;145115277;1;0;198;1#2;50;
0138;145115278;1;0;983;1#2;50;
0138;145115279;1;0;217;1#2;50;
0138;145115280;1;0;110;1#2;50;
0138;145115281;1;0;106;1#2;50;
0138;145115282;1;0;269;1#2;50;
0138;145115283;1;0;334;1#2;50;
0138;145115284;1;0;627;1#2;50;
0138;145115285;1;0;1618;1#2;50;
0138;145115286;1;0;49;1#2;50;
