*0219*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0219;145173164;1;0;69;1#2;3.2;
0219;145173333;1;0;11;1#2;2.7;
0219;145174405;1;0;31;1#2;2.6;
0219;145174406;1;0;4;1#2;2.6;
0219;145175011;1;0;21;1#2;2.6;
0219;145175612;1;0;14;1#2;2.7;
0219;145175616;1;0;25;1#2;2.7;
0219;145175618;1;0;13;1#2;2.7;
0219;145175990;1;0;51;1#2;3.5;
0219;145235740;1;0;16;2;4.5;
0219;145235871;2;2;41;1;4.5;
0219;145235888;1;0;135;1#3;4.4;
0219;145235888;1;0;135;1#3;4.4;
0219;145235924;1;0;74;1#2;3.2;
0219;145235991;1;0;159;1;4.1;
0219;145238893;2;156;157;1#2;4.1;
0219;145239007;1;0;25;1#2;4.5;
0219;145239601;1;0;4;1#2;4.5;
0219;145241923;1;0;116;1#2;3.6;
0219;145241945;1;0;45;1#2;4.3;
0219;145241949;1;0;413;1#2;4.2;
0219;145241949;1;0;413;1#2;3.8;
0219;145242102;1;0;6;1#2;4.0;
0219;145242221;1;0;135;1#2;4.2;
0219;145242267;2;14;15;1#2;3.2;
0219;145242455;1;0;108;1#2;4.0;
0219;145242549;2;2;3;1#2;3.2;
0219;145242586;1;0;6;1#2;4.3;
0219;145242590;1;0;294;1#2;4.5;
0219;145242612;1;0;3;1#2;4.5;
0219;145242766;1;0;27;1#3;4.5;
0219;145242767;1;0;6;1#3;4.5;
0219;145242768;1;0;4;1#3;4.5;
0219;145242769;1;0;13;1#3;4.5;
0219;145242770;1;0;9;1#3;4.5;
0219;145242771;1;0;9;1#3;4.5;
0219;145242772;1;0;13;1#3;4.5;
0219;145242773;1;0;6;1#3;4.5;
0219;145242774;1;0;8;1#3;4.5;
0219;145248593;2;0;337;1#2;4.4;
0219;145248594;1;0;3;1#2;4.4;
0219;145248614;1;0;36;1#2;4.5;
0219;145248659;1;0;878;2;4.5;
0219;145248822;1;0;51;1#3;4.5;
0219;145248827;1;0;34;1#3;4.5;
0219;145249775;1;0;7;1#3;4.5;
0219;145249777;1;0;106;1#3;4.4;
0219;145250418;1;0;3;1#2;4.0;
0219;145250440;1;0;270;1#2;4.5;
0219;145252794;1;0;15;1#3;4.5;
0219;145252856;2;34;42;5#7;4.5;
0219;145252857;1;0;4;5#7;4.5;
0219;207662241;1;0;18;5#7;4.5;
0219;207662242;1;0;92;5#7;4.5;
0219;145252859;1;0;98;5#7;4.5;
0219;145252860;1;0;43;5#7;4.5;
0219;145252902;1;0;93;1#3#5;4.1;
0219;145252916;1;0;173;1#3#5;4.5;
0219;145252986;1;0;6;1;4.5;
0219;145253451;1;0;849;1#3;4.5;
0219;145253452;1;0;10;1#3;4.5;
0219;145253898;1;0;85;1#2;4.1;
0219;145254000;1;0;38;3;4.5;
0219;145254000;1;0;38;1#3;4.5;
0219;145254000;1;0;38;1;4.5;
0219;145254070;1;0;10;1#2;4.5;
0219;145254474;1;0;6;1#3;4.5;
0219;268325096;1;0;17;1#2#3#4;4.5;
0219;268325096;1;0;17;1#3;4.5;
0219;268325097;1;0;43;1#2#3#4;4.5;
0219;268325097;1;0;43;1#3;4.5;
0219;145254649;1;0;37;1#2;3.2;
0219;145254734;2;3;5;1#3;4.5;
0219;145254735;1;0;88;1#2;4.4;
0219;145254735;1;0;88;1#3;4.5;
0219;145254736;1;0;71;1#3;4.5;
0219;145254737;1;0;11;1#3;4.5;
0219;268325098;1;0;6;1#3;4.5;
0219;268325099;1;0;228;1#3;4.4;
0219;268325099;1;0;228;1#3;4.5;
0219;145254739;1;0;13;1#3;4.5;
0219;145254743;1;0;74;1#2;3.7;
0219;145256659;1;0;339;2#4;4.5;
0219;145256713;2;31;41;2#4#6#8K;4.5;
0219;145256714;1;0;5;2#4#6#8K;4.5;
0219;207662245;1;0;18;2#4#6#8K;4.5;
0219;207662246;1;0;92;2#4#6;4.5;
0219;145256716;1;0;93;2#4#6;4.5;
0219;145256717;1;0;5;2#4#6;4.5;
0219;145256718;1;0;37;2#4;4.5;
0219;145256719;1;0;6;2#4;4.5;
0219;145256766;1;0;93;2#4#6K;4.1;
0219;145256778;1;0;165;2#4#6K;4.5;
0219;145257264;1;0;849;2#4;4.5;
0219;145257688;1;0;85;1#2;4.1;
0219;145257786;1;0;43;2#4#6#8;4.5;
0219;145257861;1;0;10;1#2;4.5;
0219;145258267;1;0;6;2#4;4.5;
0219;268325100;1;0;17;1#2#3#4;4.5;
0219;268325100;1;0;17;2#4;4.5;
0219;268325101;1;0;43;1#2#3#4;4.5;
0219;268325101;1;0;43;2#4;4.5;
0219;145258450;1;0;37;1#2;3.2;
0219;145258536;2;3;5;2#4;4.5;
0219;145258537;1;0;88;1#2;4.4;
0219;145258537;1;0;88;2#4;4.5;
0219;145258538;1;0;71;2#4;4.5;
0219;145258539;1;0;11;2#4;4.5;
0219;268325102;1;0;6;2#4;4.5;
0219;268325103;1;0;228;2#4;4.4;
0219;268325103;1;0;228;2#4;4.5;
0219;145258541;1;0;13;2#4;4.5;
0219;145258545;1;0;74;1#2;3.7;
0219;145260028;1;0;3;2H2;4.5;
0219;145260029;1;0;4;2H1;4.5;
0219;145260030;1;0;8;2V1;4.5;
