*0402*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0402;145314286;1;0;352;1#2;1.9;
0402;145314441;1;0;48;1#2;3.7;
0402;145314726;1;0;9;1#2;2.9;
0402;145390829;2;719;721;1#2;4.5;
0402;145390830;1;0;114;1#2;4.5;
0402;145400360;1;0;164;1#2;4.1;
0402;145400469;2;212;214;1#2;4.5;
0402;145400470;1;0;43;1#2;4.5;
0402;145406151;1;0;185;1#2;2.7;
0402;145409387;1;0;83;1#2;3.1;
0402;145409392;1;0;209;1#2;4.3;
0402;145409400;2;86;96;1#2;4.3;
0402;145409401;1;0;11;1#2;4.3;
0402;145409402;1;0;191;1#2;4.3;
