FEIL: 6809600.800    82404.100       Felt 1#2, har restriksjon
FEIL: 6811840.800    78027.200       Felt SVKL, restriksjon feil retning
FEIL: 6804861.900    88287.800       Felt 1, restriksjon feil retning
FEIL: 6814266.800    76639.000       Felt 1#2, har restriksjon
FEIL: 6804986.100    88357.500       Felt 1, restriksjon feil retning
FEIL: 6814064.600    76391.100       Felt SVKL, restriksjon feil retning
FEIL: 6837602.900    61366.400       Felt SVKL, restriksjon feil retning
FEIL: 6809618.700    82423.300       Felt 1#2, har restriksjon
FEIL: 6814095.300    77545.700       Felt SVKL, restriksjon feil retning
