*0215*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0215;145236826;2;51;1583;1#2;4.5;
0215;145236827;1;0;1880;1#2;4.5;
0215;145236833;2;44;3988;1#2#4;4.5;
0215;145252530;2;7;13;1#3;4.5;
0215;145252531;1;0;126;1#3;4.5;
0215;145252532;1;0;423;1#3;4.5;
0215;145253319;2;1;21;1H1;4.5;
0215;145253320;1;0;15;1H1;4.5;
0215;145253321;1;0;3;1H1;4.5;
0215;145253322;1;0;20;1H1;4.5;
0215;145253323;1;0;66;1H1;4.5;
0215;145253324;1;0;90;1H1;4.5;
0215;145253325;1;0;164;1H1;4.5;
0215;145253671;1;0;41;1;4.5;
0215;145256458;1;0;121;2#4;4.5;
0215;145256459;1;0;5;2#4;4.5;
0215;145256460;1;0;423;2#4;4.5;
0215;145257130;2;1;12;2;4.5;
0215;145257130;2;1;12;2H1;4.5;
0215;145257131;1;0;9;2;4.5;
0215;145257131;1;0;9;2H1;4.5;
0215;145257132;1;0;15;2;4.5;
0215;145257132;1;0;15;2H1;4.5;
0215;145257133;1;0;5;2;4.5;
0215;145257133;1;0;5;2H1;4.5;
0215;145257134;1;0;84;2;4.5;
0215;145257134;1;0;84;2H1;4.5;
0215;145257135;1;0;59;2;4.5;
0215;145257135;1;0;59;2H1;4.5;
0215;145257136;1;0;31;2;4.5;
0215;145257136;1;0;31;2H1;4.5;
0215;145257137;1;0;180;2;4.5;
0215;145257137;1;0;180;2H1;4.5;
