*0529*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0529;145418815;1;0;144;1#2;50;
0529;145418819;1;0;74;1#2;30;
0529;145418820;1;0;104;1#2;30;
0529;145418821;1;0;61;1#2;30;
0529;145418822;1;0;62;1#2;30;
0529;145426381;1;0;107;1#2;50;
0529;145426382;1;0;108;1#2;50;
0529;145426383;1;0;113;1#2;50;
0529;145426384;1;0;63;1#2;50;
0529;145426385;1;0;156;1#2;50;
0529;145426386;1;0;112;1#2;50;
0529;145426387;1;0;87;1#2;50;
0529;145426388;1;0;6;1#2;50;
0529;145426389;1;0;125;1#2;50;
0529;145426390;1;0;133;1#2;50;
0529;145426391;1;0;178;1#2;50;
0529;145426392;1;0;136;1#2;50;
0529;145426393;1;0;16;1#2;50;
0529;145426394;1;0;363;1#2;50;
0529;145426395;1;0;14;1#2;30;
0529;145426396;1;0;177;1#2;30;
0529;145426397;1;0;707;1#2;30;
0529;145426398;1;0;392;1#2;30;
0529;145426399;1;0;29;1#2;50;
0529;145426400;1;0;126;1#2;50;
0529;145426401;1;0;14;1#2;50;
0529;145426402;1;0;210;1#2;50;
0529;145426403;1;0;96;1#2;50;
0529;145426404;1;0;157;1#2;50;
0529;145426405;1;0;137;1#2;50;
0529;145426406;1;0;439;1#2;50;
0529;145426407;1;0;150;1#2;50;
0529;145426408;1;0;71;1#2;50;
0529;145426409;1;0;19;1#2;60;
0529;182786495;1;0;22;1#2;60;
0529;182786496;1;0;27;1#2;60;
0529;145426411;1;0;28;1#2;60;
0529;145426412;1;0;33;1#2;60;
0529;145426413;1;0;19;1#2;60;
0529;145426414;1;0;67;1#2;60;
0529;145426415;1;0;165;1#2;60;
0529;145426416;1;0;644;1#2;60;
0529;145426417;1;0;357;1#2;60;
0529;145426418;1;0;182;1#2;30;
0529;145426419;1;0;399;1#2;30;
0529;145426420;1;0;367;1#2;60;
0529;145426421;1;0;503;1#2;60;
0529;145426422;1;0;727;1#2;80;
0529;145426423;1;0;10;1#2;80;
0529;145426424;1;0;249;1#2;80;
0529;145426425;1;0;696;1#2;80;
0529;145426426;1;0;189;1#2;80;
0529;145426427;1;0;127;1#2;80;
0529;145426428;1;0;302;1#2;80;
0529;145426429;1;0;157;1#2;80;
0529;145426430;1;0;334;1#2;80;
0529;145426431;1;0;106;1#2;80;
0529;145426432;1;0;219;1#2;80;
0529;145426433;1;0;170;1#2;80;
0529;145426434;1;0;125;1#2;80;
0529;145426435;1;0;193;1#2;80;
0529;145426436;1;0;87;1#2;80;
0529;145426437;1;0;66;1#2;80;
0529;145426438;1;0;49;1#2;80;
0529;145426439;1;0;35;1#2;80;
0529;145426440;1;0;65;1#2;80;
0529;145426441;1;0;75;1#2;80;
0529;145426442;1;0;87;1#2;80;
0529;145426443;1;0;155;1#2;80;
0529;145426444;1;0;43;1#2;80;
0529;145426445;1;0;83;1#2;80;
0529;145426446;1;0;21;1#2;80;
0529;145426447;1;0;37;1#2;80;
0529;145426448;1;0;421;1#2;80;
0529;145426449;1;0;56;1#2;80;
0529;145426450;1;0;192;1#2;50;
0529;145426451;1;0;276;1#2;50;
0529;145426452;1;0;252;1#2;50;
0529;145426453;1;0;72;1#2;50;
0529;145426454;1;0;808;1#2;50;
0529;145426455;1;0;192;1#2;50;
0529;145426456;1;0;95;1#2;50;
0529;145426457;1;0;73;1#2;50;
0529;145426458;1;0;643;1#2;50;
0529;145426459;1;0;559;1#2;50;
0529;145426460;1;0;84;1#2;30;
0529;145426461;1;0;29;1#2;80;
0529;145426462;1;0;529;1#2;80;
0529;145426463;1;0;108;1#2;80;
0529;145426464;1;0;1017;1#2;80;
0529;145426465;1;0;408;1#2;80;
0529;145426466;1;0;340;1#2;80;
0529;145426467;1;0;160;1#2;30;
0529;145426468;1;0;114;1#2;30;
0529;145426469;1;0;37;1#2;80;
0529;145426470;1;0;121;1#2;50;
0529;145426471;1;0;99;1#2;50;
0529;145426472;1;0;150;1#2;50;
0529;145426473;1;0;299;1#2;60;
0529;145426474;1;0;8;1#2;60;
0529;145426475;1;0;330;1#2;60;
0529;145426476;1;0;292;1#2;60;
0529;145426477;1;0;310;1#2;60;
0529;145426478;1;0;222;1#2;60;
0529;145426479;1;0;63;1#2;60;
0529;145426480;1;0;62;1#2;60;
0529;145426481;1;0;120;1#2;60;
0529;145426482;1;0;618;1#2;60;
0529;145426483;1;0;133;1#2;60;
0529;145426484;1;0;237;1#2;60;
0529;145426485;1;0;29;1#2;50;
0529;145426486;1;0;101;1#2;50;
0529;145426487;1;0;256;1#2;50;
0529;145426488;1;0;560;1#2;50;
0529;145426489;1;0;187;1#2;50;
0529;145426490;1;0;171;1#2;50;
0529;145426491;1;0;362;1#2;50;
0529;145426492;1;0;659;1#2;50;
0529;145426493;1;0;61;1#2;50;
0529;145426494;1;0;87;1#2;50;
0529;145426495;1;0;514;1#2;50;
0529;145426496;1;0;23;1#2;50;
0529;145426497;1;0;153;1#2;50;
0529;145426498;1;0;16;1#2;50;
0529;145426499;1;0;169;1#2;50;
0529;145426500;1;0;32;1#2;50;
0529;145426501;1;0;648;1#2;80;
0529;145426502;1;0;144;1#2;80;
0529;145426503;1;0;148;1#2;80;
0529;145426504;1;0;144;1#2;80;
0529;145426505;1;0;294;1#2;80;
0529;145426506;1;0;113;1#2;80;
0529;145426507;1;0;97;1#2;80;
0529;145426508;1;0;14;1#2;80;
0529;145426509;1;0;126;1#2;80;
0529;145426510;1;0;299;1#2;80;
0529;145426511;1;0;156;1#2;80;
0529;145426512;1;0;212;1#2;80;
0529;145426513;1;0;27;1#2;80;
