*0502*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0502;145418816;1;0;110;1#2;30;
0502;145420278;1;0;125;1#2;50;
0502;145420279;1;0;66;1#2;50;
0502;145420280;1;0;162;1#2;50;
0502;145420281;1;0;81;1#2;50;
0502;145420282;1;0;19;1#2;50;
0502;145420283;1;0;238;1#2;50;
0502;145420284;1;0;7;1#2;50;
0502;145420285;1;0;46;1#2;50;
0502;145420286;1;0;95;1#2;40;
0502;145420287;1;0;71;1#2;40;
0502;145420288;1;0;37;1#2;40;
0502;145420289;1;0;77;1#2;40;
0502;145420291;1;0;47;1#2;50;
0502;145420292;1;0;45;1#2;50;
0502;145420293;1;0;46;1#2;50;
0502;145420294;1;0;47;1#2;50;
0502;145420295;1;0;139;1#2;50;
0502;145420296;1;0;70;1#2;50;
0502;145420297;1;0;141;1#2;50;
0502;145420298;1;0;154;1#2;50;
0502;145420299;1;0;6;1#2;50;
0502;145420300;1;0;39;1#2;50;
0502;145420301;1;0;267;1#2;50;
0502;145420302;1;0;204;1#2;50;
0502;145420303;1;0;70;1#2;50;
0502;145420304;1;0;208;1#2;50;
0502;182786486;1;0;152;1#2;50;
0502;182786487;1;0;37;1#2;50;
0502;145420306;1;0;164;1#2;50;
0502;145420307;1;0;75;1#2;50;
0502;145420308;1;0;166;1#2;50;
0502;145420309;1;0;225;1#2;50;
0502;145420310;1;0;58;1#2;50;
0502;145420311;1;0;32;1#2;50;
0502;145420312;1;0;221;1#2;50;
0502;145420313;1;0;75;2;50;
0502;145420314;1;0;69;1#2;50;
0502;145420315;1;0;105;1#2;50;
0502;145420316;1;0;79;1#2;50;
0502;145420317;1;0;74;1#2;50;
0502;145420318;1;0;81;1#2;50;
0502;145420319;1;0;198;1#2;50;
0502;145420320;1;0;9;1#2;50;
0502;145420321;1;0;29;1#2;50;
0502;145420323;1;0;47;1#2;50;
0502;145420324;1;0;11;1#2;50;
0502;145420325;1;0;77;1#2;50;
0502;145420326;1;0;24;1#2;50;
0502;145420327;1;0;40;1#2;50;
0502;145420328;1;0;8;1#2;50;
0502;145420329;1;0;201;1#2;50;
0502;145420330;1;0;107;1#2;50;
0502;145420331;1;0;82;2;50;
0502;145420332;1;0;75;1#2;50;
0502;145420333;1;0;246;1#2;50;
0502;145420334;1;0;131;1#2;50;
0502;145420335;1;0;138;1#2;50;
0502;145420336;1;0;6;1#2;50;
0502;145420337;1;0;73;1#2;50;
0502;145420338;1;0;31;1#2;50;
0502;145420339;1;0;28;1#2;50;
0502;145420340;1;0;48;1#2;50;
0502;145420341;1;0;436;1#2;50;
0502;145420342;1;0;66;1#2;50;
0502;145420343;1;0;64;1#2;50;
0502;145420344;1;0;31;1#2;30;
0502;145420345;1;0;109;1#2;30;
0502;145420346;1;0;25;1#2;30;
0502;145420347;1;0;74;1#2;30;
0502;145420348;1;0;194;1#2;30;
0502;145420349;1;0;214;1#2;30;
0502;145420350;1;0;59;1#2;50;
0502;145420351;1;0;102;1#2;50;
0502;145420352;1;0;78;1#2;50;
0502;145420353;1;0;75;1#2;50;
0502;145420354;1;0;74;1#2;50;
0502;145420355;1;0;57;1#2;50;
0502;145420356;1;0;21;1#2;50;
0502;145420357;1;0;92;1#2;50;
0502;145420358;1;0;93;1#2;50;
0502;145420359;1;0;55;1#2;50;
0502;145420360;1;0;315;1#2;50;
0502;145420361;1;0;416;1#2;50;
0502;145420362;1;0;173;1#2;50;
0502;145420363;1;0;25;1#2;50;
0502;145420364;1;0;119;1#2;50;
0502;145420365;1;0;54;1#2;30;
0502;145420366;1;0;424;1#2;30;
0502;145420367;1;0;154;1#2;30;
0502;145420368;1;0;65;1#2;50;
0502;145420369;1;0;83;1;50;
0502;145420370;1;0;55;1#2;50;
0502;145420371;1;0;152;1#2;50;
0502;145420372;1;0;96;1;50;
0502;145420373;1;0;141;1#2;30;
0502;145420374;1;0;68;1#2;30;
0502;145420375;1;0;45;1#2;30;
0502;145420376;1;0;210;1#2;30;
0502;145420377;1;0;78;1#2;50;
0502;145420378;1;0;92;1#2;50;
0502;171933353;1;0;79;1#2;50;
0502;171933354;1;0;52;1#2;50;
0502;145420380;1;0;53;1#2;50;
0502;145420381;1;0;46;1#2;50;
0502;145420382;1;0;143;1#2;50;
0502;145420383;1;0;145;1#2;50;
0502;145420384;1;0;184;1#2;50;
0502;145420385;1;0;47;1#2;50;
0502;145420386;1;0;87;1#2;50;
0502;145420387;1;0;79;1#2;50;
0502;145420388;1;0;99;1#2;50;
0502;145420389;1;0;82;1#2;50;
0502;145420390;1;0;140;1#2;50;
0502;145420391;1;0;104;1#2;50;
0502;145420392;1;0;65;1#2;50;
0502;145420393;1;0;176;1#2;50;
0502;145420394;1;0;77;1#2;50;
0502;145420395;1;0;76;1#2;50;
0502;145420396;1;0;71;1#2;30;
0502;145420397;1;0;166;1#2;30;
0502;145420398;1;0;38;1#2;30;
0502;145420399;1;0;105;1#2;30;
0502;145420400;1;0;176;1#2;30;
0502;145420401;1;0;130;1#2;50;
0502;145420402;1;0;113;1#2;50;
0502;145420403;1;0;103;1#2;30;
0502;145420404;1;0;206;1#2;30;
0502;145420405;1;0;172;1#2;30;
0502;145420406;1;0;81;1#2;30;
0502;145420407;1;0;115;1#2;50;
0502;145420408;1;0;236;1#2;50;
0502;145420409;1;0;191;1#2;50;
0502;145420410;1;0;94;1#2;50;
0502;145420411;1;0;22;1#2;50;
0502;145420412;1;0;23;1#2;50;
0502;145420413;1;0;28;1#2;50;
0502;145420414;1;0;172;1#2;30;
0502;145420415;1;0;117;1#2;50;
0502;145420416;1;0;160;1#2;50;
0502;145420417;1;0;58;1#2;50;
0502;145420418;1;0;68;1#2;50;
0502;145420419;1;0;36;1#2;50;
0502;145420420;1;0;10;1#2;50;
0502;145420421;1;0;141;1#2;50;
0502;145420422;1;0;10;1#2;50;
0502;145420423;1;0;58;1#2;50;
0502;145420424;1;0;76;1#2;50;
0502;145420425;1;0;170;1#2;50;
0502;145420426;1;0;96;1#2;50;
0502;171776060;1;0;71;1#2;50;
0502;171776061;1;0;54;1#2;50;
0502;145420428;1;0;65;1#2;50;
0502;145420429;1;0;89;1#2;50;
0502;145420430;1;0;86;1#2;30;
0502;145420431;1;0;80;1#2;30;
0502;145420432;1;0;160;1#2;50;
0502;145420433;1;0;90;1#2;50;
0502;145420434;1;0;190;1#2;50;
0502;145420435;1;0;162;1#2;50;
0502;145420436;1;0;60;1#2;50;
0502;145420437;1;0;64;1#2;50;
0502;145420438;1;0;74;1#2;50;
0502;145420439;1;0;140;1#2;50;
0502;145420440;1;0;105;1#2;50;
0502;145420441;1;0;231;1#2;50;
0502;145420442;1;0;105;1#2;50;
0502;145420443;1;0;166;1#2;50;
0502;145420444;1;0;34;1#2;50;
0502;145420445;1;0;28;1#2;50;
0502;145420448;1;0;77;1#2;50;
0502;145420449;1;0;76;1#2;50;
