*0214*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0214;145235304;1;0;355;1;4.5;
0214;145237949;1;0;68;1#2;4.5;
0214;145250043;1;0;44;1#2;4.5;
0214;145250049;1;0;575;1#2;4.5;
0214;145252533;1;0;3130;1#3;4.5;
0214;145252534;1;0;165;1#3;4.5;
0214;145252538;1;0;429;1#3;4.5;
0214;145253516;1;0;51;1#2;4.5;
0214;145253522;1;0;53;11V1;4.5;
0214;145253655;1;0;45;1#3;4.5;
0214;145256461;1;0;3130;2#4;4.5;
0214;145256462;1;0;217;2#4;4.5;
0214;145257325;1;0;56;1#2;4.5;
0214;145257329;1;0;53;2;4.4;
0214;145257475;1;0;45;2;4.5;
