*0418*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0418;145319801;3;0;0;1#2;;
0418;145345199;3;0;0;1#2;;
0418;145345458;3;0;0;1#2;;
0418;145345476;3;61;61;1#2;;
0418;145345969;3;0;0;1#2;;
0418;237342217;3;27;27;1#2;;
0418;145378670;3;0;0;1#2;;
0418;145378683;3;25;25;1#2;;
0418;145378684;3;0;0;1#2;;
0418;145378720;3;101;101;1#2;;
0418;145378732;3;231;231;1#2;;
0418;145378754;3;0;0;1#2;;
0418;145378755;3;0;0;1#2;;
0418;145378773;3;0;0;1#2;;
0418;145378782;3;196;196;1#2;;
0418;145378787;3;21;21;1#2;;
0418;145378807;3;0;0;1#2;;
0418;145378811;3;0;0;1#2;;
0418;145378823;3;397;397;1#2;;
0418;145378824;3;0;0;1#2;;
0418;145378843;3;0;0;1#2;;
0418;145378853;3;0;0;1#2;;
0418;145378867;3;0;0;1#2;;
0418;145378869;3;1390;1390;1#2;;
0418;145378918;3;0;0;1#2;;
0418;145378935;3;0;0;1#2;;
0418;145378943;3;0;0;1#2;;
0418;145378992;3;0;0;1#2;;
0418;145379047;3;0;0;1#2;;
0418;145379062;3;70;70;1#2;;
0418;145379096;3;0;0;1#2;;
0418;237342249;3;0;0;1#2;;
0418;145379101;3;0;0;1#2;;
0418;145379102;3;0;0;1#2;;
0418;145379111;3;0;0;1#2;;
0418;145379124;3;0;0;1#2;;
0418;145379196;3;0;0;1#2;;
0418;145379200;3;0;0;1#2;;
0418;237342258;3;0;0;1#2;;
0418;145379213;3;0;0;1#2;;
0418;145379220;3;0;0;1#2;;
0418;145379229;3;0;0;1#2;;
0418;145379240;3;0;0;1#2;;
0418;145379372;3;0;0;1#2;;
