*0235*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0235;145186112;1;0;33;1#2;4.0;
0235;145235449;1;0;80;1;4.5;
0235;145245848;1;0;37;1#2;4.0;
0235;145246279;1;0;26;1#2;3.9;
0235;145252657;1;0;462;1#3;4.5;
0235;145252671;1;0;492;1#3;4.5;
0235;145252671;1;0;492;1#3;4.5;
0235;145252671;1;0;492;3H1;4.5;
0235;145253058;1;0;39;1;4.5;
0235;145253354;1;0;59;1#2;4.5;
0235;145256589;1;0;457;4H1;4.5;
0235;145256589;1;0;457;2#4;4.5;
0235;145256606;1;0;498;2#4;4.5;
0235;145256606;1;0;498;2#4;4.5;
0235;145256625;1;0;505;2#4;4.4;
0235;145256864;1;0;39;2;4.5;
0235;145257165;1;0;59;1#2;4.5;
