*0124*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0124;182881460;3;0;0;1#2;;
0124;234070709;3;0;0;1#2;;
0124;145111666;3;32;32;1#2;;
0124;145111675;3;0;0;1#2;;
0124;234156050;3;0;0;1#2;;
0124;145111925;3;79;79;1#2;;
0124;145111931;3;55;55;1#2;;
0124;234070726;3;0;0;1#2;;
0124;234070727;3;0;0;1#2;;
0124;145111973;3;0;0;1#2;;
0124;145111988;3;2;2;1#2;;
0124;234156060;3;110;110;1#2;;
0124;145112085;3;0;0;1#2;;
0124;145112147;3;0;0;1#2;;
0124;145112148;3;26;26;1#2;;
0124;145131039;3;26;26;1#2;;
0124;169745392;3;0;0;1#2;;
0124;145131291;3;59;59;1#2;;
0124;145131347;3;0;0;1#2;;
0124;234070754;3;0;0;1#2;;
0124;230220704;3;0;0;1#2;;
0124;234070797;3;95;95;1#2;;
0124;234070798;3;53;53;1#2;;
0124;234070810;3;31;31;1#2;;
0124;234070848;3;0;0;1#2;;
0124;234070856;3;0;0;1#2;;
0124;234156157;3;39;39;1#2;;
0124;234156214;3;0;0;1#2;;
0124;234156237;3;0;0;1#2;;
0124;234156274;3;0;0;1#2;;
