*0417*2011 VEGNETT*20110511*SVING*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;TransID
0417;145390389;4;145390488
0417;145390394;3;145390491
0417;145390400;4;145343143
0417;145390408;4;145390516
0417;145390410;3;145390505
0417;145390412;3;145390520
0417;145390414;4;145390530
0417;145390433;3;145390609
0417;145390487;4;145390390
0417;145390497;4;145390396
0417;145390500;4;145390394
0417;145390512;4;145390408
0417;145390515;4;145390410
0417;145390526;4;145390414
0417;145390529;4;145390412
0417;145411205;4;145412484
0417;145390609;4;145390432
0417;145342332;4;145390399
0417;145390950;3;145391288
0417;145390954;4;145391299
0417;145390956;3;145391304
0417;145390958;4;145391313
0417;145391295;4;145390954
0417;145391298;4;145390950
0417;145391309;4;145390957
0417;145391312;4;145390959
0417;145403901;4;145343991
0417;145343991;4;145403900
0417;145342331;4;145390403
0417;145390396;4;145390501
0417;222188211;3;222188164
