*0420*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0420;145320629;3;19;19;1#2;;
0420;145320704;3;0;0;1#2;;
0420;145320715;3;120;120;1#2;;
0420;145320807;3;13;13;1#2;;
0420;145320816;3;74;74;1#2;;
0420;145321083;3;32;32;1#2;;
0420;145347590;3;0;0;1#2;;
0420;145347592;3;0;0;1#2;;
0420;145347593;3;0;0;1#2;;
0420;145347594;3;0;0;1#2;;
0420;145347596;3;0;0;1#2;;
0420;145347597;3;0;0;1#2;;
0420;145347598;3;0;0;1#2;;
0420;145347599;3;0;0;1#2;;
0420;145347600;3;0;0;1#2;;
0420;145348312;3;135;135;1#2;;
0420;145349800;3;0;0;1#2;;
0420;145351075;3;30;30;1#2;;
0420;145351081;3;0;0;1#2;;
0420;145351083;3;0;0;1#2;;
0420;145351088;3;0;0;1#2;;
0420;145351118;3;0;0;1#2;;
0420;145351322;3;19;19;1#2;;
0420;145379983;3;209;209;1#2;;
0420;145380021;3;8;8;1#2;;
0420;145380035;3;246;246;1#2;;
0420;145380046;3;404;404;1#2;;
0420;145380118;3;36;36;1#2;;
0420;145380125;3;44;44;1#2;;
0420;145380154;3;23;23;1#2;;
0420;145380159;3;1366;1366;1#2;;
0420;145380161;3;248;248;1#2;;
0420;145380166;3;23;23;1#2;;
0420;145380177;3;0;0;1#2;;
0420;145380184;3;17;17;1#2;;
0420;145380194;3;56;56;1#2;;
0420;145380216;3;92;92;1#2;;
0420;145380233;3;77;77;1#2;;
0420;145380240;3;0;0;1#2;;
0420;145380240;3;2996;2996;1#2;;
0420;145380242;3;29;29;1#2;;
0420;145380252;3;61;61;1#2;;
0420;145380257;3;0;0;1#2;;
0420;145380260;3;0;0;1#2;;
0420;145380266;3;0;0;1#2;;
0420;145380268;3;26;26;1#2;;
0420;145380269;3;2627;2627;1#2;;
0420;145380272;3;0;0;1#2;;
0420;145380281;3;85;85;1#2;;
0420;145380286;3;163;163;1#2;;
0420;145380295;3;397;397;1#2;;
0420;145380307;3;20;20;1#2;;
0420;145380310;3;250;250;1#2;;
0420;145380314;3;516;516;1#2;;
0420;145380340;3;14;14;1#2;;
0420;145380347;3;0;0;1#2;;
0420;145380392;3;17;17;1#2;;
0420;145380404;3;2596;2596;1#2;;
0420;145380411;3;23;23;1#2;;
0420;145380423;3;65;65;1#2;;
0420;145380435;3;58;58;1#2;;
0420;145380442;3;25;25;1#2;;
0420;145380461;3;0;0;1#2;;
0420;145380474;3;0;0;1#2;;
0420;145380663;3;0;0;1#2;;
0420;145380698;3;0;0;1#2;;
0420;145380735;3;31;31;1#2;;
0420;145380754;3;0;0;1#2;;
0420;145380756;3;20;20;1#2;;
0420;145380762;3;0;0;1#2;;
