*0412*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0412;145316581;1;0;21;1#2;4.5;
0412;145316746;1;0;27;1#2;3.5;
0412;145316906;1;0;18;1#2;3.6;
0412;145317434;1;0;233;1#2;3.8;
0412;145317442;1;0;15;1#2;3.1;
0412;145317455;1;0;107;1#2;4.4;
0412;145317460;1;0;88;1#2;4.0;
0412;145318202;1;0;91;1#2;3.6;
0412;145331461;1;0;12;1#2;3.8;
0412;145331461;1;0;12;1#2;4.4;
0412;145331464;1;0;69;1#2;3.8;
0412;220371007;1;0;311;1#2;3.1;
0412;220371008;1;0;53;1#2;3.1;
0412;145331654;1;0;70;1#2;3.3;
0412;145332470;1;0;327;1#2;4.5;
0412;145337217;1;0;81;1#2;4.5;
0412;145339477;1;0;441;1#2;4.5;
0412;145390685;1;0;65;1#2;4.5;
0412;145395792;1;0;832;1#2;3.0;
0412;266176816;1;0;2005;1#2;4.5;
0412;266176816;1;0;2005;1#2;4.5;
0412;145408247;1;0;192;1#2;4.5;
0412;145411687;1;0;75;1;4.4;
0412;145412991;1;0;75;2;4.4;
0412;266176821;1;0;1296;1;4.5;
0412;266176821;1;0;1296;1;4.5;
0412;266176822;1;0;1296;2;4.5;
0412;266176822;1;0;1296;2;4.5;
