*0128*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0128;145113110;3;0;0;1#2;;
0128;145113153;3;52;52;1#2;;
0128;145113206;3;0;0;1#2;;
0128;145113234;3;0;0;1#2;;
0128;145113292;3;126;126;1#2;;
0128;145113337;3;70;70;1#2;;
0128;145113469;3;102;102;1#2;;
0128;145113485;3;71;71;1#2;;
0128;145113489;3;14;14;1#2;;
0128;145113492;3;107;107;1#2;;
0128;145113692;3;0;0;1#2;;
0128;145134607;3;16;16;1#2;;
0128;145134608;3;0;0;1#2;;
0128;145142834;3;0;0;1#2;;
0128;145142837;3;555;555;1#2;;
0128;145142844;3;146;146;1#2;;
0128;145142851;3;0;0;1#2;;
0128;145142855;3;0;0;1#2;;
0128;145142856;3;41;41;1#2;;
0128;145142863;3;89;89;1#2;;
0128;145142866;3;0;0;1#2;;
0128;145142868;3;125;125;1#2;;
0128;145142870;3;53;53;1#2;;
0128;145142895;3;80;80;1#2;;
0128;145142902;3;2437;2437;1#2;;
0128;145142918;3;52;52;1#2;;
0128;145142924;3;0;0;1#2;;
0128;145142925;3;3520;3520;1#2;;
0128;145142945;3;0;0;1#2;;
0128;145142947;3;27;27;1#2;;
0128;145142960;3;43;43;1#2;;
0128;145142976;3;0;0;1#2;;
0128;145142988;3;36;36;1#2;;
0128;145142998;3;0;0;1#2;;
0128;145143010;3;0;0;1#2;;
0128;145143013;3;230;230;1#2;;
0128;145143110;3;38;38;1#2;;
0128;145143116;3;45;45;1#2;;
0128;145143132;3;0;0;1#2;;
