*0101*2011 VEGNETT*20110511*SVING*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;TransID
0101;145098962;3;145100145
0101;145099133;3;145099802
0101;145099264;4;145100146
0101;145099435;4;145100145
0101;145099436;3;145100146
0101;145099575;4;145100282
0101;145099576;3;145100282
0101;145099606;4;145099604
0101;145099618;4;145099748
0101;145099619;3;145099749
0101;145099751;3;145099745
0101;145099756;4;145100281
0101;145099757;3;145100281
0101;145099899;4;145100280
0101;145099900;3;145100280
0101;145100175;3;145099804
0101;145100286;4;145100283
0101;145100287;3;145100283
0101;145115542;3;145099801
0101;145116016;3;145099770
0101;145116442;3;145099605
0101;145150781;4;145098940
0101;145150784;3;145098940
