*0106*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0106;145106288;1;0;11;1#2;4.5;
0106;272376276;1;0;152;1#2;4.5;
0106;272376277;1;0;8;1#2;4.5;
0106;145145096;1;0;852;1#2;4.5;
0106;145145515;1;0;187;1#2;4.1;
0106;145153135;1;0;27;1#2;2.6;
0106;145154554;2;153;155;1#3;4.0;
0106;145154555;1;0;84;1#3;4.0;
0106;145154555;1;0;84;1#3;4.0;
0106;145155066;1;0;20;1;4.3;
0106;145155066;1;0;20;1;4.1;
0106;145156019;2;153;155;2#4;4.2;
0106;145156020;1;0;84;2#4;4.0;
0106;145156020;1;0;84;2#4;4.2;
0106;145156023;1;0;1123;2#4;4.5;
0106;145156526;1;0;20;2;4.3;
0106;145156526;1;0;20;2;4.1;
0106;202722304;1;0;501;2#4;4.5;
0106;202722335;1;0;646;2#4;4.5;
