*0534*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0534;145428603;3;78;78;1#2;;
0534;145428725;3;42;42;1#2;;
0534;240151329;3;31;31;1#2;;
0534;145428890;3;139;139;1#2;;
0534;145429094;3;0;0;1#2;;
0534;145429096;3;146;146;1#2;;
0534;145429097;3;141;141;1#2;;
0534;145429120;3;0;0;1#2;;
0534;145429404;3;20;20;1#2;;
0534;276894470;3;0;0;1#2;;
0534;145466166;3;16;16;1#2;;
0534;145466253;3;0;0;1#2;;
0534;145466319;3;16;16;1#2;;
0534;145466442;3;0;0;1#2;;
0534;145466455;3;0;0;1#2;;
0534;145466592;3;0;0;1#2;;
0534;145466779;3;0;0;1#2;;
0534;145491075;3;0;0;1#2;;
0534;145491078;3;0;0;1#2;;
0534;145491083;3;0;0;1#2;;
0534;145491086;3;0;0;1#2;;
0534;145491090;3;716;716;1#2;;
0534;246315308;3;4;4;1#2;;
0534;145491108;3;15;15;1#2;;
0534;145491119;3;39;39;1#2;;
0534;145491125;3;0;0;1#2;;
0534;145491132;3;0;0;1#2;;
0534;145491151;3;17;17;1#2;;
0534;145491157;3;0;0;1#2;;
0534;145491170;3;121;121;1#2;;
0534;145491174;3;2114;2114;1#2;;
0534;145491185;3;123;123;1#2;;
0534;145491188;3;0;0;1#2;;
0534;145491190;3;0;0;1#2;;
0534;145491247;3;30;30;1#2;;
0534;145491250;3;14;14;1#2;;
0534;145491257;3;0;0;1#2;;
0534;145491271;3;0;0;1#2;;
0534;145491284;3;15;15;1#2;;
0534;145491288;3;608;608;1#2;;
0534;145491320;3;0;0;1#2;;
0534;145491323;3;41;41;1#2;;
0534;145491327;3;53;53;1#2;;
0534;145491332;3;0;0;1#2;;
0534;145491367;3;0;0;1#2;;
0534;145491406;3;1366;1366;1#2;;
0534;145491410;3;0;0;1#2;;
0534;145491411;3;54;54;1#2;;
0534;145491463;3;0;0;1#2;;
0534;145491472;3;7;7;1#2;;
0534;145491481;3;134;134;1#2;;
0534;145491596;3;114;114;1#2;;
0534;145491601;3;0;0;1#2;;
0534;145491621;3;41;41;1#2;;
0534;145491664;3;12;12;1#2;;
0534;145491669;3;0;0;1#2;;
0534;145491670;3;11;11;1#2;;
0534;240668502;3;0;0;1#2;;
0534;145491702;3;545;545;1#2;;
0534;145491726;3;57;57;1#2;;
0534;276894474;3;0;0;1#2;;
