*0432*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0432;145364924;3;0;0;1#2;;
0432;145364960;3;0;0;1#2;;
0432;145364966;3;0;0;1#2;;
0432;145365036;3;0;0;1#2;;
0432;145365053;3;0;0;1#2;;
0432;145365078;3;0;0;1#2;;
0432;145365119;3;0;0;1#2;;
0432;145365294;3;186;186;1#2;;
0432;145365302;3;0;0;1#2;;
0432;145365483;3;0;0;1#2;;
0432;145365509;3;0;0;1#2;;
0432;145365641;3;0;0;1#2;;
0432;145365833;3;0;0;1#2;;
0432;145365901;3;0;0;1#2;;
0432;145366181;3;361;361;1#2;;
0432;145366198;3;888;888;1#2;;
0432;145387804;3;0;0;1#2;;
0432;145387868;3;0;0;1#2;;
0432;145387893;3;0;0;1#2;;
0432;145387902;3;0;0;1#2;;
0432;145387924;3;0;0;1#2;;
0432;145387936;3;73;73;1#2;;
0432;240326944;3;0;0;1#2;;
0432;145387948;3;0;0;1#2;;
0432;145387972;3;0;0;1#2;;
0432;145387981;3;0;0;1#2;;
0432;145388001;3;0;0;1#2;;
0432;145388020;3;0;0;1#2;;
0432;145388043;3;0;0;1#2;;
0432;145388064;3;0;0;1#2;;
0432;145388067;3;0;0;1#2;;
0432;145388079;3;0;0;1#2;;
0432;145388087;3;0;0;1#2;;
0432;145388092;3;30;30;1#2;;
0432;145388112;3;0;0;1#2;;
0432;145388133;3;0;0;1#2;;
0432;145388137;3;0;0;1#2;;
0432;145388199;3;0;0;1#2;;
0432;145388204;3;0;0;1#2;;
0432;145388206;3;0;0;1#2;;
0432;145388220;3;0;0;1#2;;
0432;145388248;3;0;0;1#2;;
0432;145388413;3;0;0;1#2;;
0432;145388416;3;0;0;1#2;;
0432;145388417;3;0;0;1#2;;
0432;145388566;3;0;0;1#2;;
0432;145388577;3;0;0;1#2;;
0432;145388587;3;0;0;1#2;;
0432;145388588;3;0;0;1#2;;
0432;145388595;3;7931;7931;1#2;;
0432;145388603;3;3934;3934;1#2;;
