*0538*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0538;145430225;3;158;158;1#2;;
0538;145430356;3;13;13;1#2;;
0538;145430365;3;0;0;1#2;;
0538;145430373;3;0;0;1#2;;
0538;159937711;3;0;0;1#2;;
0538;159937713;3;0;0;1#2;;
0538;145430461;3;0;0;1#2;;
0538;159937716;3;0;0;1#2;;
0538;145430522;3;65;65;1#2;;
0538;145430529;3;0;0;2;;
0538;145471454;3;0;0;1#2;;
0538;145471538;3;0;0;1#2;;
0538;145471676;3;0;0;1#2;;
0538;145472278;3;0;0;1#2;;
0538;159834895;3;0;0;1#2;;
0538;145473395;3;227;227;1#2;;
0538;145492550;3;0;0;1#2;;
0538;145492574;3;57;57;1#2;;
0538;145492583;3;0;0;1#2;;
0538;145492584;3;0;0;1#2;;
0538;145492591;3;507;507;1#2;;
0538;145492606;3;0;0;1#2;;
0538;145492621;3;0;0;1#2;;
0538;145492627;3;575;575;1#2;;
0538;145492632;3;959;959;1#2;;
0538;145492637;3;0;0;1#2;;
0538;145492650;3;320;320;1#2;;
0538;145492660;3;0;0;1#2;;
0538;145492663;3;0;0;1#2;;
0538;145492676;3;0;0;1#2;;
0538;145492678;3;2198;2198;1#2;;
0538;145492687;3;0;0;1#2;;
0538;145492700;3;14;14;1#2;;
0538;145492706;3;0;0;1#2;;
0538;145492710;3;67;67;1#2;;
0538;145492718;3;233;233;1#2;;
0538;145492750;3;73;73;1#2;;
0538;145492752;3;0;0;1#2;;
0538;145492756;3;0;0;1#2;;
0538;145492760;3;0;0;1#2;;
0538;145492769;3;78;78;1#2;;
0538;145492775;3;45;45;1#2;;
0538;145492793;3;11;11;1#2;;
0538;145492812;3;0;0;1#2;;
0538;145492817;3;0;0;1#2;;
0538;145492846;3;35;35;1#2;;
0538;145492850;3;52;52;1#2;;
0538;145492866;3;0;0;1#2;;
0538;145492881;3;45;45;1#2;;
0538;145492908;3;91;91;1#2;;
0538;145492911;3;0;0;1#2;;
0538;145492937;3;0;0;1#2;;
0538;145492957;3;0;0;1#2;;
0538;145492963;3;53;53;1#2;;
0538;145492982;3;21;21;1#2;;
0538;145492990;3;0;0;1#2;;
0538;145493006;3;37;37;1#2;;
0538;145493058;3;49;49;1#2;;
0538;145493069;3;72;72;1#2;;
0538;145493077;3;40;40;1#2;;
0538;145493086;3;0;0;1#2;;
0538;145493100;3;59;59;1#2;;
0538;145493145;3;0;0;1#2;;
0538;145493156;3;50;50;1#2;;
0538;145493165;3;0;0;1#2;;
0538;145493182;3;54;54;1#2;;
0538;145493189;3;0;0;1#2;;
0538;145493237;3;265;265;1#2;;
0538;145493270;3;0;0;1#2;;
0538;145493295;3;51;51;1#2;;
0538;145493300;3;31;31;1#2;;
0538;159753179;3;0;0;1#2;;
0538;145493331;3;0;0;1#2;;
0538;145493334;3;280;280;1#2;;
0538;145493363;3;39;39;1#2;;
0538;145493385;3;73;73;1#2;;
0538;145493495;3;0;0;1#2;;
0538;145493505;3;26;26;1#2;;
0538;145493585;3;22;22;1#2;;
0538;145493586;3;1219;1219;1#2;;
0538;145493608;3;1033;1033;1#2;;
0538;145493660;3;0;0;1#2;;
