*0501*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0501;145419575;1;0;243;1#2;2.9;
0501;145419593;1;0;38;1#2;2.5;
0501;248714422;1;0;50;1#2;4.4;
0501;183059726;2;7;19;1#2;4.4;
0501;183059727;1;0;98;1#2;4.4;
0501;145505822;1;0;154;1#2;4.1;
0501;145508426;2;83;86;1#2;4.5;
0501;145508426;2;84;86;1H1;4.4;
0501;145508427;1;0;5;1#2;4.5;
0501;145508427;1;0;5;1H1;4.4;
0501;145508428;1;0;20;1#2;4.5;
0501;145508428;1;0;20;1H1;4.4;
0501;145508442;2;1;210;1#2;4.5;
0501;145508443;1;0;590;1#2;4.5;
0501;145508451;1;0;1308;1#2;4.5;
0501;145508451;1;0;1308;1#2;4.5;
0501;145514781;1;0;338;1;4.5;
0501;145514781;1;0;338;1;4.5;
0501;145515762;1;0;330;2#2F;4.5;
0501;145515762;1;0;330;2#2F;4.5;
0501;145516427;1;0;77;1#2;4.4;
