*0501*2011 VEGNETT*20110511*SVING*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;TransID
0501;145508410;3;145516424
0501;145508421;3;145433171
0501;145508426;3;145496922
0501;145508431;4;145496938
0501;145508436;3;145496943
0501;145508439;4;145496946
0501;145508446;3;145496959
0501;145508449;4;145496963
0501;145508452;3;145496975
0501;145508458;4;145496987
0501;145515467;3;145515454
0501;145419371;3;145419630
0501;145515741;3;145514478
0501;145515743;3;145515470
0501;145511465;4;145420211
0501;145511466;4;145420209
0501;182544082;3;145515196
0501;145515813;3;248829072
0501;145514783;3;145511449
0501;145511447;3;145515766
