*0119*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0119;145110501;3;0;0;1#2;;
0119;145110594;3;0;0;1#2;;
0119;145110615;3;63;63;1#2;;
0119;145110619;3;0;0;1#2;;
0119;145110622;3;79;79;1#2;;
0119;145128194;3;50;50;1#2;;
0119;145128201;3;0;0;1#2;;
0119;145128220;3;0;0;1#2;;
0119;145128237;3;1065;1065;1#2;;
0119;145128310;3;29;29;1#2;;
0119;145141915;3;0;0;1#2;;
0119;145141919;3;0;0;1#2;;
0119;145141938;3;0;0;1#2;;
0119;145141943;3;29;29;1#2;;
0119;145141948;3;0;0;1#2;;
0119;145141950;3;0;0;1#2;;
0119;145141957;3;498;498;1#2;;
0119;145141968;3;0;0;1#2;;
0119;145141976;3;0;0;1#2;;
0119;145141980;3;0;0;1#2;;
0119;145141985;3;224;224;1#2;;
0119;145141994;3;477;477;1#2;;
0119;145142010;3;293;293;1#2;;
0119;145142012;3;63;63;1#2;;
0119;145142014;3;142;142;1#2;;
0119;145142021;3;153;153;1#2;;
0119;145142025;3;0;0;1#2;;
0119;145142027;3;56;56;1#2;;
0119;145142053;3;67;67;1#2;;
0119;145142058;3;0;0;1#2;;
0119;145142063;3;9;9;1#2;;
0119;145142072;3;0;0;1#2;;
0119;145142084;3;0;0;1#2;;
0119;145142090;3;0;0;1#2;;
0119;145142096;3;0;0;1#2;;
0119;145142114;3;0;0;1#2;;
0119;145142117;3;0;0;1#2;;
0119;145142119;3;16;16;1#2;;
0119;145142133;3;57;57;1#2;;
0119;145142140;3;871;871;1#2;;
0119;145142145;3;55;55;1#2;;
0119;145142150;3;0;0;1#2;;
0119;145142152;3;0;0;1#2;;
0119;145142153;3;21;21;1#2;;
0119;145142158;3;0;0;1#2;;
0119;145142167;3;0;0;1#2;;
0119;145142170;3;109;109;1#2;;
0119;145142175;3;46;46;1#2;;
0119;145142186;3;0;0;1#2;;
0119;145142189;3;0;0;1#2;;
0119;145142195;3;0;0;1#2;;
0119;145142199;3;0;0;1#2;;
0119;145142202;3;590;590;1#2;;
0119;145142212;3;128;128;1#2;;
0119;145142230;3;406;406;1#2;;
0119;145142241;3;159;159;1#2;;
0119;145142256;3;0;0;1#2;;
0119;145142270;3;0;0;1#2;;
0119;145142280;3;34;34;1#2;;
0119;145142292;3;185;185;1#2;;
0119;145142299;3;0;0;1#2;;
0119;145142313;3;0;0;1#2;;
0119;145142324;3;23;23;1#2;;
