*0520*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0520;145424780;3;21;21;1#2;;
0520;145424871;3;45;45;1#2;;
0520;145424973;3;0;0;1#2;;
0520;145425008;3;42;42;1#2;;
0520;145425021;3;0;0;1#2;;
0520;145425029;3;77;77;1#2;;
0520;145425039;3;0;0;1#2;;
0520;145425087;3;81;81;1#2;;
0520;145450748;3;0;0;1#2;;
0520;145450995;3;0;0;1#2;;
0520;145451045;3;0;0;1#2;;
0520;145451115;3;0;0;1#2;;
0520;145451157;3;0;0;1#2;;
0520;145451201;3;0;0;1#2;;
0520;145451241;3;0;0;1#2;;
0520;145451268;3;0;0;1#2;;
0520;145451286;3;0;0;1#2;;
0520;145451289;3;0;0;1#2;;
0520;145451291;3;0;0;1#2;;
0520;145488515;3;0;0;1#2;;
0520;145488552;3;0;0;1#2;;
0520;145488554;3;23;23;1#2;;
0520;145488572;3;13;13;1#2;;
0520;145488601;3;0;0;1#2;;
0520;145488609;3;69;69;1#2;;
0520;145488611;3;151;151;1#2;;
0520;145488614;3;0;0;1#2;;
0520;145488617;3;107;107;1#2;;
0520;145488618;3;2995;2995;1#2;;
0520;145488621;3;0;0;1#2;;
0520;145488624;3;27;27;1#2;;
0520;145488629;3;0;0;1#2;;
0520;145488640;3;18;18;1#2;;
0520;145488769;3;32;32;1#2;;
0520;145515284;3;0;0;1;;
0520;145516249;3;9;9;2;;
0520;159976928;3;0;0;1#2;;
