*0439*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0439;145326820;1;0;119;1#2;40;
0439;145326821;1;0;107;1#2;50;
0439;145326822;1;0;65;1#2;50;
0439;145326823;1;0;81;1#2;40;
0439;145326824;1;0;82;1#2;50;
0439;145326825;1;0;79;1#2;40;
0439;145326826;1;0;8;1#2;40;
0439;145326827;1;0;91;1#2;40;
0439;145326828;1;0;135;1#2;40;
0439;145326829;1;0;177;1#2;40;
0439;145326830;1;0;76;1#2;40;
0439;145326831;1;0;70;1#2;40;
0439;145326832;1;0;14;1#2;40;
0439;145326833;1;0;300;1#2;40;
0439;145326834;1;0;11;1#2;40;
0439;145326835;1;0;84;1#2;40;
0439;145326836;1;0;193;1#2;40;
0439;145326837;1;0;43;1#2;40;
0439;145326838;1;0;387;1#2;50;
0439;145326839;1;0;235;1#2;40;
0439;145326840;1;0;377;1#2;40;
0439;145326841;1;0;30;1#2;50;
0439;145326842;1;0;28;1#2;50;
0439;145326843;1;0;248;1#2;40;
0439;145326844;1;0;87;1#2;30;
0439;145326845;1;0;79;1#2;30;
0439;145326847;1;0;12;1#2;40;
0439;145326848;1;0;116;1#2;40;
0439;145326849;1;0;52;1#2;40;
0439;145326850;1;0;2;1#2;40;
0439;145326851;1;0;3;1#2;40;
0439;145326852;1;0;22;1#2;40;
0439;145326853;1;0;80;1#2;40;
0439;145326854;1;0;17;1#2;40;
0439;145326855;1;0;34;1#2;40;
0439;145326856;1;0;63;1#2;40;
0439;145326857;1;0;27;1#2;40;
0439;145326858;1;0;47;1#2;50;
0439;145326859;1;0;12;1#2;50;
0439;145326860;1;0;96;1#2;40;
0439;145326861;1;0;37;1#2;40;
0439;145326862;1;0;134;1#2;40;
0439;145326863;1;0;78;1#2;40;
0439;145326864;1;0;60;1#2;40;
0439;145326865;1;0;3;1#2;40;
0439;145326866;1;0;112;1#2;40;
0439;145326867;1;0;165;1#2;40;
0439;145326868;1;0;57;1#2;40;
0439;145326869;1;0;41;1#2;40;
0439;145326870;1;0;107;1#2;40;
0439;145326871;1;0;93;1#2;40;
0439;145326872;1;0;103;1#2;50;
0439;145326873;1;0;269;1#2;50;
0439;145326874;1;0;31;1#2;40;
0439;145326875;1;0;18;1#2;50;
0439;145326876;1;0;8;1#2;40;
0439;145326877;1;0;160;1#2;40;
0439;145326878;1;0;87;1#2;40;
0439;145326879;1;0;96;1#2;30;
0439;145326880;1;0;440;1#2;40;
0439;145326881;1;0;38;1#2;40;
0439;145326882;1;0;221;1#2;40;
0439;145326883;1;0;171;1#2;40;
0439;145326884;1;0;39;1#2;40;
0439;145326885;1;0;116;1#2;40;
0439;145326886;1;0;115;1#2;40;
0439;145326887;1;0;49;1#2;40;
0439;145326888;1;0;83;1#2;40;
0439;145326889;1;0;154;1#2;50;
0439;145326890;1;0;148;1#2;40;
0439;145326891;1;0;128;1#2;40;
0439;145326892;1;0;155;1#2;40;
0439;145326893;1;0;72;1#2;40;
0439;145326894;1;0;42;1#2;50;
0439;145326895;1;0;49;1#2;50;
0439;145326896;1;0;77;1#2;40;
0439;145326897;1;0;3;1#2;40;
0439;145326898;1;0;91;1#2;40;
0439;145326899;1;0;136;1#2;40;
0439;145326900;1;0;162;1#2;40;
0439;145326901;1;0;30;1#2;40;
0439;145326902;1;0;63;1#2;40;
0439;145326903;1;0;96;1#2;40;
0439;145326904;1;0;38;1#2;40;
0439;145326905;1;0;70;1#2;40;
0439;145326906;1;0;63;1#2;40;
0439;145326907;1;0;58;1#2;40;
0439;145326908;1;0;34;1#2;40;
0439;145326909;1;0;124;1#2;40;
0439;145326910;1;0;76;1#2;40;
0439;145326911;1;0;92;1#2;40;
0439;145326912;1;0;3;1#2;40;
0439;145326913;1;0;44;1#2;40;
0439;145326914;1;0;29;1#2;40;
0439;145326915;1;0;39;1#2;40;
0439;145326916;1;0;12;1#2;40;
0439;145326917;1;0;77;1#2;40;
0439;145326918;1;0;177;1#2;40;
0439;145326919;1;0;5;1#2;40;
0439;145326920;1;0;148;1#2;40;
0439;145326921;1;0;146;1#2;40;
0439;145326922;1;0;59;1#2;40;
0439;145326923;1;0;44;1#2;40;
0439;145326924;1;0;27;1#2;40;
0439;145326925;1;0;50;1#2;40;
0439;145326926;1;0;108;1#2;40;
0439;145326927;1;0;94;1#2;40;
0439;145326928;1;0;139;1#2;40;
0439;145326929;1;0;122;1#2;40;
0439;145326930;1;0;43;1#2;40;
0439;145326931;1;0;8;1#2;50;
0439;145326932;1;0;88;1#2;50;
0439;145326933;1;0;47;1#2;50;
0439;145326934;1;0;33;1#2;40;
0439;145326935;1;0;46;1#2;40;
0439;145326936;1;0;25;1#2;40;
0439;145326937;1;0;24;1#2;40;
0439;145326938;1;0;54;1#2;40;
0439;145326939;1;0;306;1#2;40;
0439;145326940;1;0;169;1#2;40;
0439;145326941;1;0;149;1#2;30;
0439;145326942;1;0;395;1#2;30;
0439;145326943;1;0;55;1#2;50;
0439;145326944;1;0;28;1#2;50;
0439;145326945;1;0;179;1#2;50;
0439;145326946;1;0;81;1#2;50;
0439;145326947;1;0;53;1#2;50;
0439;145326948;1;0;120;1#2;50;
0439;145326949;1;0;203;1#2;50;
0439;145326950;1;0;118;1#2;50;
0439;145326951;1;0;171;1#2;50;
0439;145326952;1;0;235;1#2;50;
0439;145326953;1;0;29;1#2;50;
0439;145326954;1;0;17;1#2;50;
0439;145326955;1;0;100;1#2;50;
0439;145326956;1;0;68;1#2;50;
0439;145326957;1;0;87;1#2;50;
0439;145326958;1;0;147;1#2;50;
0439;145326959;1;0;14;1#2;60;
0439;145326960;1;0;660;1#2;60;
0439;145326961;1;0;974;1#2;60;
0439;145326962;1;0;240;1#2;60;
0439;145326963;1;0;236;1#2;60;
0439;145326964;1;0;249;1#2;60;
0439;145326965;1;0;364;1#2;60;
0439;145326966;1;0;1215;1#2;60;
0439;145326967;1;0;157;1#2;60;
0439;145326968;1;0;132;1#2;30;
0439;145326969;1;0;132;1#2;30;
0439;145326970;1;0;290;1#2;30;
0439;145326971;1;0;696;1#2;30;
0439;145326972;1;0;289;1#2;50;
0439;145326973;1;0;186;1#2;50;
0439;145326974;1;0;26;1#2;60;
0439;145326975;1;0;16;1#2;60;
0439;145326976;1;0;50;1#2;60;
0439;145326977;1;0;132;1#2;60;
0439;145326978;1;0;1254;1#2;60;
0439;145326979;1;0;67;1#2;60;
0439;145326980;1;0;58;1#2;60;
0439;145326981;1;0;94;1#2;60;
0439;145326982;1;0;52;1#2;60;
0439;145326983;1;0;226;1#2;60;
0439;145326984;1;0;16;1#2;60;
0439;145326985;1;0;544;1#2;60;
0439;145326986;1;0;148;1#2;60;
0439;145326987;1;0;22;1#2;50;
0439;145326988;1;0;31;1#2;50;
0439;145326989;1;0;94;1#2;50;
0439;145326990;1;0;62;1#2;50;
0439;145326991;1;0;69;1#2;50;
0439;145326992;1;0;295;1#2;50;
0439;145326993;1;0;60;1#2;50;
0439;145326994;1;0;61;1#2;50;
0439;145326995;1;0;136;1#2;60;
0439;145326996;1;0;7;1#2;60;
0439;145326997;1;0;292;1#2;60;
0439;145326998;1;0;52;1#2;60;
0439;145326999;1;0;57;1#2;60;
0439;145327000;1;0;11;1#2;60;
0439;145327001;1;0;573;1#2;60;
0439;145327002;1;0;514;1#2;60;
0439;145327003;1;0;353;1#2;60;
0439;145327004;1;0;777;1#2;60;
0439;145327005;1;0;299;1#2;60;
0439;145327006;1;0;3665;1#2;60;
0439;145327007;1;0;589;1#2;60;
0439;145327008;1;0;4;1#2;60;
0439;145327009;1;0;49;1#2;30;
0439;145327010;1;0;133;1#2;30;
0439;145327011;1;0;53;1#2;30;
0439;145327012;1;0;155;1#2;30;
0439;145327013;1;0;186;1#2;30;
0439;145327014;1;0;196;1#2;80;
0439;145327015;1;0;75;1#2;80;
0439;145327016;1;0;362;1#2;80;
0439;145371920;1;0;33;1#2;30;
0439;145371921;1;0;37;1#2;30;
0439;145371922;1;0;21;1#2;30;
0439;145371923;1;0;56;1#2;60;
0439;145371924;1;0;974;1#2;60;
0439;145371925;1;0;232;1#2;60;
0439;145371926;1;0;2014;1#2;30;
0439;145371927;1;0;34;1#2;30;
0439;145371927;2;19;34;1#2;30;
0439;145371928;1;0;19;1#2;30;
0439;145371929;1;0;2114;1#2;30;
0439;145371930;1;0;10085;1#2;30;
0439;145371931;1;0;2838;1#2;30;
0439;145371932;1;0;21;1#2;30;
0439;145371933;1;0;64;1#2;30;
0439;145371934;1;0;31;1#2;30;
0439;145371935;1;0;32;1#2;30;
0439;145371936;1;0;24;1#2;30;
0439;145371937;1;0;13;1#2;30;
0439;145371938;1;0;14;1#2;30;
0439;145371939;1;0;12;1#2;30;
0439;145371940;1;0;12;1#2;30;
0439;145371941;1;0;25;1#2;30;
0439;145371942;1;0;21;1#2;30;
0439;145371943;1;0;18;1#2;30;
0439;145371944;1;0;73;1#2;30;
0439;145371945;1;0;13;1#2;30;
0439;145371946;1;0;14;1#2;30;
0439;145371947;1;0;16;1#2;30;
0439;145371948;1;0;30;1#2;30;
0439;145371949;1;0;18;1#2;30;
0439;145371950;1;0;12;1#2;30;
0439;145371951;1;0;22;1#2;30;
0439;145371952;1;0;27;1#2;30;
0439;145371953;1;0;34;1#2;30;
0439;145371954;1;0;33;1#2;30;
0439;145371955;1;0;38;1#2;30;
0439;145371956;1;0;110;1#2;30;
0439;145371957;1;0;36;1#2;30;
0439;145371958;1;0;55;1#2;30;
0439;145371959;1;0;61;1#2;30;
0439;145371960;1;0;35;1#2;30;
0439;145371961;1;0;78;1#2;30;
0439;145371962;1;0;18;1#2;30;
0439;145371963;1;0;14;1#2;30;
0439;145371964;1;0;17;1#2;30;
0439;145371965;1;0;27;1#2;30;
0439;145371966;1;0;63;1#2;30;
0439;145371967;1;0;32;1#2;30;
0439;145371968;1;0;48;1#2;30;
0439;145371969;1;0;23;1#2;30;
0439;145371970;1;0;25;1#2;30;
0439;145371971;1;0;71;1#2;30;
0439;145371972;1;0;22;1#2;30;
0439;145371973;1;0;18;1#2;30;
0439;145371974;1;0;25;1#2;30;
0439;145371975;1;0;29;1#2;30;
0439;145371976;1;0;165;1#2;30;
0439;145371977;1;0;15;1#2;30;
0439;145371978;1;0;29;1#2;30;
0439;145371979;1;0;34;1#2;30;
0439;145371980;1;0;22;1#2;30;
0439;145371981;1;0;12;1#2;30;
0439;145371982;1;0;12;1#2;30;
0439;145371983;1;0;13;1#2;30;
0439;145371984;1;0;10;1#2;30;
0439;145371985;1;0;21;1#2;30;
0439;145371986;1;0;18;1#2;30;
0439;145371987;1;0;15;1#2;30;
0439;145371988;1;0;68;1#2;30;
0439;145371989;1;0;11;1#2;30;
0439;145371990;1;0;13;1#2;30;
0439;145371991;1;0;17;1#2;30;
0439;145371992;1;0;17;1#2;30;
0439;145371993;1;0;11;1#2;30;
0439;145371994;1;0;11;1#2;30;
0439;145371995;1;0;19;1#2;30;
0439;145371996;1;0;28;1#2;30;
0439;145371997;1;0;37;1#2;30;
0439;145371998;1;0;36;1#2;30;
0439;145371999;1;0;34;1#2;30;
0439;145372000;1;0;107;1#2;30;
0439;145372001;1;0;38;1#2;30;
0439;145372002;1;0;53;1#2;30;
0439;145372003;1;0;65;1#2;30;
0439;145372004;1;0;37;1#2;30;
0439;145372005;1;0;84;1#2;30;
0439;145372006;1;0;17;1#2;30;
0439;145372007;1;0;15;1#2;30;
0439;145372008;1;0;16;1#2;30;
0439;145372009;1;0;21;1#2;30;
0439;145372010;1;0;63;1#2;30;
0439;145372011;1;0;29;1#2;30;
0439;145372012;1;0;38;1#2;30;
0439;145372013;1;0;20;1#2;30;
0439;145372014;1;0;23;1#2;30;
0439;145372015;1;0;74;1#2;30;
0439;145372016;1;0;21;1#2;30;
0439;145372017;1;0;12;1#2;30;
0439;145372018;1;0;23;1#2;30;
0439;145372019;1;0;28;1#2;30;
0439;145372020;1;0;112;1#2;30;
0439;145372021;1;0;16;1#2;30;
0439;145372022;1;0;60;1#2;30;
0439;145372023;1;0;63;1#2;30;
0439;145372024;1;0;91;1#2;30;
0439;145372025;1;0;4;1#2;30;
0439;145372026;1;0;1241;1#2;30;
0439;145372027;1;0;64;1#2;30;
0439;145372028;1;0;278;1#2;30;
0439;145372029;1;0;16;1#2;30;
0439;145372030;1;0;139;1#2;30;
0439;145372031;1;0;74;1#2;30;
0439;145372032;1;0;45;1#2;30;
0439;145372033;1;0;693;1#2;30;
0439;145372034;1;0;339;1#2;30;
0439;145372035;1;0;21;1#2;30;
0439;145372036;1;0;55;1#2;30;
0439;145372037;1;0;59;1#2;30;
0439;145372038;1;0;122;1#2;30;
0439;145372039;1;0;50;1#2;30;
0439;145372040;1;0;2;1#2;30;
0439;145372041;1;0;15;1#2;30;
0439;145372042;1;0;8;1#2;30;
0439;145372043;1;0;15;1#2;30;
0439;145372044;1;0;7;1#2;30;
0439;145372045;1;0;152;1#2;30;
0439;145372046;1;0;770;1#2;30;
0439;145372047;1;0;3;1#2;30;
0439;145372048;1;0;727;1#2;30;
0439;145372049;1;0;18;1#2;30;
0439;145372050;1;0;15;1#2;30;
0439;145372051;1;0;28;1#2;30;
0439;145372052;1;0;26;1#2;30;
0439;145372053;1;0;32;1#2;30;
0439;145372054;1;0;6;1#2;30;
0439;145372055;1;0;42;1#2;30;
0439;145372056;1;0;11;1#2;30;
0439;145372057;1;0;7;1#2;30;
0439;145372058;1;0;6;1#2;30;
0439;145372059;1;0;12;1#2;30;
0439;145372060;1;0;25;1#2;30;
0439;145372061;1;0;6;1#2;30;
0439;145372062;1;0;4;1#2;30;
0439;145372063;1;0;6;1#2;30;
0439;145372064;1;0;7;1#2;30;
0439;145372065;1;0;8;1#2;30;
0439;145372066;1;0;8;1#2;30;
0439;145372067;1;0;9;1#2;30;
0439;145372068;1;0;9;1#2;30;
0439;145372069;1;0;7;1#2;30;
0439;145372070;1;0;23;1#2;30;
0439;145372071;1;0;32;1#2;30;
0439;145372072;1;0;26;1#2;30;
0439;145372073;1;0;17;1#2;30;
0439;145372074;1;0;8;1#2;30;
0439;145372075;1;0;2;1#2;30;
0439;145372076;1;0;6;1#2;30;
0439;145372077;1;0;9;1#2;30;
0439;145372078;1;0;9;1#2;30;
0439;145372079;1;0;10;1#2;30;
0439;145372080;1;0;9;1#2;30;
0439;145372081;1;0;6;1#2;30;
0439;145372082;1;0;13;1#2;30;
0439;145372083;1;0;2217;1#2;30;
0439;145372084;1;0;366;1#2;30;
0439;145372085;1;0;108;1#2;30;
0439;145372086;1;0;1128;1#2;30;
0439;145372087;1;0;2003;1#2;30;
0439;145372088;1;0;143;1#2;30;
0439;145372089;1;0;1214;1#2;30;
0439;145372090;1;0;493;1#2;30;
0439;145372091;1;0;1391;1#2;30;
0439;145372092;1;0;112;1#2;30;
0439;145372093;1;0;61;1#2;30;
0439;145372094;1;0;2374;1#2;30;
0439;145372095;1;0;13;1#2;60;
0439;145372096;1;0;9;1#2;30;
0439;145372097;1;0;24;1#2;30;
0439;145372098;1;0;11;1#2;30;
0439;145372099;1;0;6;1#2;30;
0439;145372100;1;0;12;1#2;30;
0439;145372101;1;0;7;1#2;30;
0439;145372102;1;0;5;1#2;30;
0439;145372103;1;0;14;1#2;60;
0439;145372104;1;0;23;1#2;30;
0439;145372105;1;0;23;1#2;30;
0439;145372106;1;0;31;1#2;30;
0439;145372107;1;0;34;1#2;30;
0439;145372108;1;0;17;1#2;30;
0439;145372109;1;0;28;1#2;60;
0439;145372110;1;0;20;1#2;30;
0439;145372111;1;0;869;1#2;30;
