*0136*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0136;145146400;1;0;292;1#2;4.4;
0136;145152954;1;0;9;1#2;2.8;
0136;145154314;1;0;3113;1#3;4.5;
0136;145154314;1;0;3113;1#3;4.4;
0136;145154314;1;0;3113;1#3;4.5;
0136;145154315;1;0;438;1#3;4.5;
0136;145154316;1;0;902;1#3;4.5;
0136;145155780;1;0;981;2#4;4.5;
0136;145155786;1;0;3113;2#4;4.5;
0136;145155786;1;0;3113;2#4;4.5;
0136;145155786;1;0;3113;2#4;4.5;
0136;145155787;1;0;438;2#4;4.5;
