*0220*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0220;145167818;1;0;126;1#2;30;
0220;145167819;1;0;14;1#2;30;
0220;145167820;1;0;4;1#2;30;
0220;145167821;1;0;4;1#2;30;
0220;145167822;1;0;4;1#2;30;
0220;145167823;1;0;4;1#2;30;
0220;145167824;1;0;4;1#2;30;
0220;145167825;1;0;4;1#2;30;
0220;145167826;1;0;4;1#2;30;
0220;145167827;1;0;4;1#2;30;
0220;145167828;1;0;4;1#2;30;
0220;145167829;1;0;209;1#2;30;
0220;145176486;1;0;341;1#2;30;
0220;145176487;1;0;3;1#2;30;
0220;145176488;1;0;45;1#2;30;
0220;145176489;1;0;26;1#2;30;
0220;145176490;1;0;148;1#2;30;
0220;145176491;1;0;165;1#2;30;
0220;145176492;1;0;11;1#2;30;
0220;145176493;1;0;314;1#2;30;
0220;145176494;1;0;169;1#2;30;
0220;159466288;1;0;119;1#2;30;
0220;159466289;1;0;79;1#2;30;
0220;145176496;1;0;110;1#2;30;
0220;145176497;1;0;250;1#2;30;
0220;145176498;1;0;11;1#2;30;
0220;145176499;1;0;98;1#2;30;
0220;145176500;1;0;30;1#2;30;
0220;145176501;1;0;117;1#2;30;
0220;145176502;1;0;50;1#2;30;
0220;145176503;1;0;81;1#2;30;
0220;145176504;1;0;212;1#2;30;
0220;145176505;1;0;252;1#2;30;
0220;145176506;1;0;20;1#2;30;
0220;145176507;1;0;85;1#2;30;
0220;145176508;1;0;168;1#2;30;
0220;145176509;1;0;14;1#2;30;
0220;145176510;1;0;62;1#2;30;
0220;145176511;1;0;125;1#2;30;
0220;145176512;1;0;82;1#2;30;
0220;145176513;1;0;197;1#2;30;
0220;145176514;1;0;51;1#2;50;
0220;145176515;1;0;68;1#2;50;
0220;145176516;1;0;91;1#2;30;
0220;145176517;1;0;230;1#2;30;
0220;145176518;1;0;279;1#2;30;
0220;145176519;1;0;171;1#2;30;
0220;145176520;1;0;190;1#2;30;
0220;145176521;1;0;19;1#2;30;
0220;145176522;1;0;248;1#2;30;
0220;145176523;1;0;279;1#2;30;
0220;145176525;1;0;160;1#2;30;
0220;145176526;1;0;120;1#2;30;
0220;145176527;1;0;9;1#2;30;
0220;145176528;1;0;220;1#2;30;
0220;145176530;1;0;91;1#2;50;
0220;145176531;1;0;125;1#2;30;
0220;145176532;1;0;38;1#2;30;
0220;145176533;1;0;87;1#2;30;
0220;145176534;1;0;28;1#2;30;
0220;145176535;1;0;155;1#2;50;
0220;145176536;1;0;18;1#2;30;
0220;145176537;1;0;47;1#2;30;
0220;145176538;1;0;84;1#2;30;
0220;145176539;1;0;89;1#2;50;
0220;145176540;1;0;25;1#2;50;
0220;145176541;1;0;175;1#2;30;
0220;145176542;1;0;60;1#2;30;
0220;145176543;1;0;201;1#2;30;
0220;145176544;1;0;78;1#2;30;
0220;145176545;1;0;246;1#2;30;
0220;145176546;1;0;79;1#2;30;
0220;145176547;1;0;98;1#2;30;
0220;145176548;1;0;96;1#2;30;
0220;145176549;1;0;113;1#2;30;
0220;276848230;1;0;10;1#2;30;
0220;276848231;1;0;175;1#2;30;
0220;145176551;1;0;70;1#2;30;
0220;145176552;1;0;45;1#2;30;
0220;145176553;1;0;103;1#2;30;
0220;159470195;1;0;45;1#2;30;
0220;159470196;1;0;11;1#2;30;
0220;145176556;1;0;52;1#2;50;
0220;145176557;1;0;10;1#2;50;
0220;145176558;1;0;17;1#2;50;
0220;145176559;1;0;85;1#2;50;
0220;145176560;1;0;28;1#2;50;
0220;145176561;1;0;57;1#2;50;
0220;145176562;1;0;63;1#2;50;
0220;145176563;1;0;210;1#2;50;
0220;145176564;1;0;213;1#2;50;
0220;145176565;1;0;8;1#2;50;
0220;145176566;1;0;3;1#2;50;
0220;145176567;1;0;72;1#2;50;
0220;145176568;1;0;85;1#2;50;
0220;145176569;1;0;202;1#2;30;
0220;145176570;1;0;51;1#2;30;
0220;145176571;1;0;125;1#2;30;
0220;145176572;1;0;99;1#2;30;
0220;145176573;1;0;250;1#2;30;
0220;145176574;1;0;101;1#2;30;
0220;145176576;1;0;11;1#2;50;
