*0220*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0220;145176500;1;0;30;1#2;3.3;
0220;145176681;1;0;186;1#2;3.4;
0220;159466299;1;0;192;1#2;3.9;
0220;159466300;1;0;175;1#2;3.9;
0220;145239254;1;0;163;1#2;4.4;
0220;145239277;1;0;238;1#2;4.5;
0220;145242825;1;0;172;1#2;3.8;
0220;145242825;1;0;172;1#2;3.7;
0220;145242901;1;0;67;1#2;3.4;
0220;145243210;1;0;33;1#2;4.4;
0220;145252942;1;0;72;1#3#5;4.5;
0220;145252975;1;0;144;1#3;4.5;
0220;145253940;1;0;76;11V1;4.5;
0220;145254805;1;0;176;1#2;3.8;
0220;145256792;1;0;276;2#4;4.5;
0220;145256792;1;0;276;6K#4H1;4.4;
0220;145256804;1;0;52;2#4;4.5;
0220;145256806;1;0;80;2#4;4.5;
0220;145256821;1;0;653;2#4;4.4;
0220;145256842;1;0;149;2#4;4.4;
0220;145258567;1;0;19;2;4.4;
0220;145258607;1;0;179;1#2;3.8;
