*0211*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0211;145167926;3;209;209;1#2;;
0211;145167955;3;118;118;1#2;;
0211;145167960;3;0;0;1#2;;
0211;145167965;3;19;19;1#2;;
0211;145168064;3;45;45;1#2;;
0211;145168097;3;130;130;1#2;;
0211;145168131;3;112;112;1#2;;
0211;145168222;3;81;81;1#2;;
0211;145168308;3;6;6;1#2;;
0211;145168312;3;129;129;1#2;;
0211;145168400;3;30;30;1#2;;
0211;145168415;3;0;0;1#2;;
0211;145168416;3;21;21;1#2;;
0211;145168475;3;135;135;1#2;;
0211;145168476;3;129;129;1#2;;
0211;145168497;3;0;0;1#2;;
0211;145168526;3;6;6;1#2;;
0211;145168576;3;0;0;1#2;;
0211;145168636;3;11;11;1#2;;
0211;272061040;3;191;191;1#2;;
0211;145168657;3;0;0;1#2;;
0211;145168658;3;19;19;1#2;;
0211;145168687;3;0;0;1#2;;
0211;145168810;3;13;13;1#2;;
0211;230323439;3;81;81;1#2;;
0211;145189924;3;235;235;1#2;;
0211;145189925;3;113;113;1#2#1;;
0211;145190042;3;171;171;1#2;;
0211;145190107;3;0;0;1#2;;
0211;145190117;3;0;0;1#2;;
0211;145190129;3;176;176;1#2;;
0211;145190133;3;0;0;1#2;;
0211;145190188;3;0;0;1#2;;
0211;145190228;3;0;0;1#2;;
0211;145190264;3;3;3;1#2;;
0211;145190318;3;0;0;1#2;;
0211;145190319;3;914;914;1#2;;
0211;145190332;3;0;0;1#2;;
0211;145190381;3;0;0;1#2;;
0211;145190395;3;10;10;1#2;;
0211;145190405;3;0;0;1#2;;
0211;145190423;3;0;0;1#2;;
0211;145190646;3;0;0;1#2;;
0211;145190653;3;74;74;1#2;;
0211;145190679;3;0;0;1#2;;
0211;145190695;3;0;0;1#2;;
0211;145190700;3;0;0;1#2;;
0211;145190763;3;0;0;1#2;;
0211;145190808;3;23;23;1#2;;
0211;145190809;3;1091;1091;1#2;;
0211;145190811;3;45;45;1#2;;
0211;145190818;3;0;0;1#2;;
0211;145190998;3;0;0;1#2;;
0211;230323486;3;22;22;1#2;;
0211;145191315;3;38;38;1#2;;
0211;145191319;3;0;0;1#2;;
0211;230323501;3;0;0;1#2;;
0211;145191457;3;25;25;1#2;;
0211;145191598;3;0;0;1#2;;
0211;145227120;3;0;0;1#2;;
0211;145227120;3;1053;1053;1#2;;
0211;145227234;3;0;0;1#2;;
0211;145227283;3;0;0;1#2;;
