*0105*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0105;145103257;1;0;117;1#2;2.8;
0105;145103462;1;0;73;1#2;3.7;
0105;145104560;1;0;19;1#2;2.4;
0105;145105035;1;0;447;1#2;3.9;
0105;145119054;1;0;637;1#2;4.5;
0105;145144911;1;0;318;1#2;4.5;
0105;145144914;1;0;171;1#2;4.5;
0105;145145625;1;0;12;1#2;4.4;
0105;145146200;1;0;227;1#2;4.4;
0105;145148632;1;0;499;1#2;4.5;
0105;145148858;1;0;151;1#2;4.5;
0105;145148872;1;0;377;1#2;3.7;
0105;145149083;2;21;22;1#2;4.4;
0105;151423995;2;2;3;1#2;3.4;
0105;145152344;2;24;25;2;4.5;
0105;145152344;2;24;25;1;4.5;
0105;145153354;1;0;205;1#2;4.3;
0105;145153358;1;0;183;1#2;3.9;
0105;145154586;1;0;98;1;4.5;
0105;145156052;1;0;102;2;4.5;
0105;145156299;1;0;100;2#2V1;4.4;
0105;145156574;1;0;79;2;4.4;
0105;202722200;2;38;58;1#2;4.5;
0105;202722201;1;0;86;1#2;4.5;
0105;202722343;1;0;511;1#3;4.5;
0105;202722405;1;0;1581;1#3;4.5;
0105;202722462;1;0;859;2#4#6;4.5;
0105;202722463;1;0;566;2#4#6;4.5;
0105;202722464;1;0;64;2#4#6;4.4;
0105;202722502;1;0;525;1#3;4.5;
0105;202722518;1;0;311;1#2;4.5;
