*0301*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0301;145266860;1;0;11;1#2;4.0;
0301;145271558;1;0;17;1#2;4.3;
0301;145300139;1;0;79;1#3;4.5;
0301;145300140;1;0;573;1;4.5;
0301;145300142;2;100;116;1;4.5;
0301;145300143;1;0;153;1;4.5;
0301;145300147;2;75;206;1;4.5;
0301;145300148;1;0;5;1;4.5;
0301;145300151;2;3;5;1;4.5;
0301;145300152;1;0;142;1;4.5;
0301;145300363;1;0;140;1;3.6;
0301;145300435;1;0;94;1;4.5;
0301;145300453;1;0;313;1;3.6;
0301;145300470;1;0;178;1K;3.6;
0301;145300796;2;31;32;1#3;4.2;
0301;145300797;1;0;194;1#3;4.2;
0301;145300814;1;0;280;1;4.5;
0301;145300832;1;0;40;1;4.5;
0301;145300833;1;0;569;1#3;4.5;
0301;145300834;1;0;51;1#3;4.5;
0301;145300851;1;0;776;1;4.5;
0301;145300913;1;0;4;1#2;4.1;
0301;145300913;1;0;4;3;4.2;
0301;145300914;1;0;69;1#2;4.2;
0301;145300919;1;0;86;1;4.1;
0301;145300926;1;0;50;1#2;4.1;
0301;145300926;1;0;50;4;4.2;
0301;145300934;1;0;150;1#3;4.5;
0301;145301247;1;0;106;1;4.5;
0301;145301251;1;0;20;1;4.3;
0301;145301301;1;0;152;1#3K;4.5;
0301;145301361;1;0;18;1;4.5;
0301;145301727;2;10;48;1;4.5;
0301;145301728;1;0;74;1;4.5;
0301;145301728;2;60;74;1;4.5;
0301;145301729;1;0;103;1;4.5;
0301;145301739;2;73;74;1;4.5;
0301;145301740;1;0;62;1;4.5;
0301;145301740;2;1;62;1;4.5;
0301;145301741;1;0;49;1;4.5;
0301;145301741;2;7;49;1;4.5;
0301;145301742;1;0;203;1;4.5;
0301;145302104;1;0;188;1#2;4.5;
0301;145302129;1;0;192;1;4.3;
0301;145302138;1;0;8;1;4.3;
0301;145302216;1;0;234;1#2;4.2;
0301;145302482;1;0;370;1#3;4.0;
0301;145302483;1;0;56;1#2;4.5;
0301;145303013;1;0;213;1#2;4.0;
0301;237338403;1;0;106;1#2;4.2;
0301;145303332;1;0;32;1;4.3;
0301;145303383;1;0;5;1;4.4;
0301;145303384;1;0;18;1;4.4;
0301;145303387;1;0;15;1;4.5;
0301;145303388;1;0;3;1;4.5;
0301;145303431;1;0;242;1#3;4.5;
0301;145303432;1;0;400;1#3;4.5;
0301;145303433;1;0;12;1#3;4.5;
0301;257271438;1;0;145;1#3;4.5;
0301;257271439;1;0;729;1#3;4.5;
0301;145303442;1;0;409;2#4;4.5;
0301;257271440;1;0;120;2#4;4.5;
0301;257271441;1;0;715;2#4;4.5;
0301;145303444;1;0;327;5H1;4.4;
0301;145303444;1;0;327;2#4;4.5;
0301;145303461;1;0;650;1#2;4.4;
0301;145303522;2;8;14;1#3;4.2;
0301;145303523;1;0;295;1#3;4.2;
0301;145303530;1;0;76;1#3;4.5;
0301;145303591;2;217;218;1#3;4.5;
