*0221*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0221;145167852;1;0;22;1#2;50;
0221;145167853;1;0;1333;1#2;50;
0221;145178444;1;0;19;1#2;50;
0221;145178445;1;0;1036;1#2;50;
0221;145178446;1;0;1318;1#2;50;
0221;145178447;1;0;34;1#2;50;
0221;145178448;1;0;39;1#2;50;
0221;145178449;1;0;479;1#2;50;
0221;145178450;1;0;1150;1#2;50;
0221;145178451;1;0;548;1#2;50;
0221;145178452;1;0;68;1#2;50;
0221;145178453;1;0;145;1#2;50;
0221;145178454;1;0;1806;1#2;50;
0221;145178455;1;0;575;1#2;50;
0221;157080215;1;0;123;1#2;50;
0221;157080216;1;0;7;1#2;50;
0221;145178457;1;0;320;1#2;50;
0221;145178458;1;0;55;1#2;50;
0221;145178459;1;0;143;1#2;50;
0221;145178460;1;0;234;1#2;50;
0221;145178461;1;0;142;1#2;50;
0221;145178462;1;0;464;1#2;50;
0221;145178463;1;0;103;1#2;50;
0221;145178464;1;0;795;1#2;50;
0221;145178465;1;0;783;1#2;50;
0221;145178466;1;0;630;1#2;50;
0221;145178467;1;0;79;1#2;50;
0221;145178468;1;0;30;1#2;50;
0221;145178469;1;0;256;1#2;50;
0221;145178470;1;0;469;1#2;50;
0221;145178471;1;0;429;1#2;50;
0221;145178472;1;0;163;1#2;30;
0221;145178473;1;0;360;1#2;50;
0221;145178474;1;0;106;1#2;50;
0221;145178475;1;0;141;1#2;50;
0221;145178476;1;0;49;1#2;30;
0221;145178477;1;0;281;1#2;50;
0221;145178478;1;0;293;1#2;50;
0221;145178479;1;0;76;1#2;50;
0221;145178480;1;0;184;1#2;50;
0221;145178481;1;0;219;1#2;50;
0221;145178482;1;0;203;1#2;50;
0221;145178483;1;0;330;1#2;50;
0221;145178484;1;0;191;1#2;50;
0221;145178485;1;0;411;1#2;50;
0221;145178486;1;0;28;1#2;50;
0221;145178487;1;0;141;1#2;50;
0221;145178488;1;0;391;1#2;50;
0221;145178489;1;0;225;1#2;50;
0221;145178490;1;0;451;1#2;50;
0221;145178491;1;0;960;1#2;50;
0221;145178492;1;0;152;1#2;50;
0221;145178493;1;0;214;1#2;50;
0221;145178494;1;0;496;1#2;50;
0221;145178495;1;0;533;1#2;50;
0221;145178496;1;0;33;1#2;50;
0221;145178497;1;0;240;1#2;50;
0221;145178498;1;0;429;1#2;50;
0221;145178499;1;0;419;1#2;50;
0221;145178500;1;0;515;1#2;50;
0221;145178501;1;0;7;1#2;50;
0221;145178502;1;0;610;1#2;50;
0221;145178503;1;0;178;1#2;50;
0221;145178504;1;0;549;1#2;50;
0221;145178505;1;0;588;1#2;50;
0221;145178506;1;0;420;1#2;50;
0221;145178507;1;0;1042;1#2;50;
0221;145178508;1;0;338;1#2;50;
0221;145178509;1;0;180;1#2;50;
0221;145178510;1;0;687;1#2;50;
0221;145178511;1;0;189;1#2;50;
0221;145178512;1;0;295;1#2;50;
0221;145178513;1;0;124;1#2;50;
0221;145178514;1;0;1051;1#2;50;
0221;145178515;1;0;239;1#2;50;
0221;145178516;1;0;186;1#2;50;
0221;145178517;1;0;96;1#2;50;
