FEIL: 6627979.200   198557.390       Felt 1, mangler restriksjon
FEIL: 6627980.800   198549.900       Felt 1, mangler restriksjon
FEIL: 6625373.440   198302.740       Felt 1#2, har restriksjon
FEIL: 6626249.600   198557.600       Felt 1, restriksjon feil retning
FEIL: 6625390.240   198307.230       Felt 1#2, har restriksjon
FEIL: 6625385.580   198317.540       Felt 1#2, har restriksjon
FEIL: 6625370.990   198307.950       Felt 1#2, har restriksjon
FEIL: 6626186.300   198428.000       Felt 1#2, har restriksjon
FEIL: 6625386.600   198301.440       Felt 1#2, har restriksjon
FEIL: 6625381.400   198318.800       Felt 1#2, har restriksjon
FEIL: 6625377.600   198318.470       Felt 1#2, har restriksjon
FEIL: 6625378.770   198299.630       Felt 1#2, har restriksjon
FEIL: 6626193.900   198436.300       Felt 1#2, har restriksjon
FEIL: 6626620.610   198913.000       Felt 1#2, har restriksjon
FEIL: 6625987.900   198515.100       Felt 1, restriksjon feil retning
FEIL: 6625373.330   198315.640       Felt 1#2, har restriksjon
