FEIL: 6573976.550   191750.220       Felt , mangler restriksjon
FEIL: 6577594.670   192093.430       Felt , mangler restriksjon
FEIL: 6572848.890   189801.840       Felt 1, mangler restriksjon
FEIL: 6572842.700   189797.490       Felt 1, mangler restriksjon
FEIL: 6574366.050   191790.740       Felt 1#2, har restriksjon
FEIL: 6574307.190   191806.110       Felt 1#2, har restriksjon
FEIL: 6574412.530   191782.390       Felt 1#2, har restriksjon
FEIL: 6574311.740   191818.250       Felt 1#2, har restriksjon
FEIL: 6574366.050   191790.740       Felt 1#2, har restriksjon
