*0237*2011 VEGNETT*20110511*SVING*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;TransID
0237;145235191;3;145224268
0237;145235194;4;145235551
0237;145248547;4;145188019
0237;145248549;4;145188018
0237;145235546;4;145235193
0237;145235557;4;145240408
0237;145247811;4;145248552
0237;145188019;4;145248548
0237;145188020;4;145188023
0237;145188023;3;145248545
0237;145240480;4;145240460
0237;245837411;3;245842676
0237;145248545;3;145188020
0237;145188001;3;145248549
0237;145248540;4;145188033
0237;145248542;3;145188059
0237;145188044;3;145248542
0237;245842672;4;145248539
0237;245837417;4;245842674
