*0237*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0237;145235197;1;0;4974;1#2;4.4;
0237;145235197;1;0;4974;1#2;4.4;
0237;145235197;1;0;4974;1#2;4.5;
0237;145240409;1;0;605;1#2;4.5;
0237;145240469;1;0;79;1#2;4.1;
0237;145247423;1;0;160;1;4.5;
0237;145247595;1;0;44;1;4.5;
0237;276529451;1;0;291;1#2;4.5;
0237;145248508;1;0;1167;1#2;4.5;
0237;276529453;1;0;189;1#2;4.5;
0237;145248517;1;0;1091;1#3;4.5;
0237;145248528;1;0;521;2#4;4.5;
0237;145252349;1;0;33;1#2;4.0;
